,0,1,2
0,카페노티드 청담,도넛 맛은 맛있음 대신 포장해서 갈거면 인내심 길러가야함 뭔가 포장하는 방식이 바뀌어야 할거같음,3점
1,카페노티드 청담,계산해주는 직원도 불친절하고 크로플도 두개시켰는데 집에 와서 열어보니 한개만 줬네요.....  다시는 안갈예정입니다..,1점
2,카페노티드 청담,좋아요,4점
3,카페노티드 청담,최고예요,5점
4,카페노티드 청담,빵들 다 맛있고 저렴한데다 매장 분위기도 좋은데 직원들끼리 좀 소통이 안되는 느낌이라 아쉬워요 계산할 때 빵은 어디서 받고 케익은 어디서 받는지 미리 말씀해주셨으면..,3점
5,카페노티드 청담,최고예요,5점
6,카페노티드 청담,먹고싶었는데 많이 안달아서 진짜 더 좋았던거같아요 줄 정리도 빨라서 좋았습니다,5점
7,카페노티드 청담,최고예요,5점
8,카페노티드 청담,노티드 맛있어요 ㅠㅠㅍ,5점
9,카페노티드 청담,"아쉬워요ㅠㅠ처음 노티드 알게 되고 먹었을 때의 설렘과 감동이 어느 순간부터는 안 느껴져요. 한 입 베어물고 눈이 뜨이면서 와 진짜 빵이 이렇게 다를 수 있구나 하고 그 땐 돈이 없어서 한두 개밖에 못 먹었는데 지금은 많이 살 수 있어도 감동의 맛이 없어요ㅜㅜ 그렇게 된지 몇 번 됐는데 혹시나 혹시나 하는 기대감에, 처음 그 맛을 잊을 수가 없어서 또 사먹고...",3점
10,카페노티드 청담,최고예요,5점
11,카페노티드 청담,"느끼하지 않고 막 달지 않아서 난 맛있던뎅, 개취인듯. 커피도 무난함. ",4점
12,카페노티드 청담,최고예요,5점
13,카페노티드 청담,당 떨어질 때 꼭 가보세요.,5점
14,카페노티드 청담,최고예요,5점
15,카페노티드 청담,노티드는 사랑,4점
16,카페노티드 청담,줄 길었는데 맛은 걍 쏘쏘,4점
17,카페노티드 청담,최고예요,5점
18,카페노티드 청담,낮에 사서 바로 먹을때 맛났는데 저녁에 먹으니 빵이 딱딱해지고 감흥이 없네 그리고 카야.앙버터 별로입니디다. 비추! ,3점
19,카페노티드 청담,맛있는데 줄 엄청 길어짐 음료는 그닥,3점
20,카페노티드 청담,귀엽,5점
