,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
0,그냥/Noun,그렇다/Adjective,생각/Noun,하다/Verb,다른/Noun,곳/Noun,넛/Noun,먹다/Verb,나다/Verb,킹/Noun,드/Noun,자다/Verb,되다/Verb,이유/Noun,있다/Adjective,근데/Adverb,그냥/Noun,갤러리아/Noun,지하/Noun,먹다/Verb,게/Noun,갑자기/Noun,확장/Noun,이전/Noun,하다/Verb,웨이/Noun,팅/Noun,생기다/Verb,뭐/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,도넛/Noun,맛있다/Adjective,종업원/Noun,대응/Noun,너무/Adverb,느리다/Adjective,한남/Noun,삼성/Noun,점도/Noun,가보다/Verb,여기/Noun,유난히/Adverb,손/Noun,느리다/Adjective,듯/Noun,직원/Noun,많다/Adjective,왜/Noun,이렇게/Adverb,느리다/Adjective,건지다/Verb,이해/Noun,좀/Noun,안/Noun,되다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,도넛/Noun,맛/Noun,있다/Adjective,줄이다/Verb,진짜/Noun,너/Modifier,엉/Noun,어어/Noun,무길/Noun,다/Adverb,예약/Noun,하다/Verb,가져가다/Verb,거/Noun,가다/Verb,가다/Verb,절대/Noun,못/Noun,기다리다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,감사하다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,바닐라/Noun,맛/Noun,맛있다/Adjective,도/Noun,넛/Noun,살다/Verb,분/Noun,기다리다/Verb,거/Noun,같다/Adjective,이/Noun,왕관/Noun,김/Noun,조각/Noun,케이크/Noun,사고/Noun,싶다/Verb,같이/Adverb,살라/Noun,하다/Verb,그러면/Adverb,다시/Noun,줄/Noun,서다/Verb,되다/Verb,하다/Verb,못/Noun,사서/Noun,아쉽다/Adjective,이/Noun,점/Noun,개선/Noun,꼭/Noun,부탁드리다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,계산/Noun,해주다/Verb,직원/Noun,불친절하다/Adjective,크다/Verb,프로도/Noun,두/Noun,개시/Noun,켜다/Verb,집/Noun,오다/Verb,열/Modifier,어보/Noun,하다/Verb,개/Noun,주다/Verb,다시다/Verb,안/Noun,갈다/Verb,예정/Noun,이다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,먹다/Verb,싶다/Verb,많이/Adverb,안/Noun,달다/Verb,진짜/Noun,더/Noun,좋다/Adjective,거/Noun,같다/Adjective,줄/Noun,정리/Noun,빨/Noun,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,노/Noun,티스/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,느끼하다/Adjective,않다/Verb,막/Noun,달리/Noun,않다/Verb,난/Noun,맛있다/Adjective,뎅/Noun,개취/Noun,듯/Noun,커피/Noun,무난/Noun,함/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,당/Noun,떨어지다/Verb,때/Noun,꼭/Noun,가보다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,노티/Noun,들다/Verb,사랑/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,줄/Noun,길다/Adjective,맛/Noun,걍/Adverb,쏘다/Verb,쏘다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,최고/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,귀엽다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,커스터드/Noun,크림/Noun,진해/Noun,명란/Noun,빵/Noun,별로/Noun,빵/Noun,자체/Noun,맛있다/Adjective,않다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,좀/Noun,더/Noun,맛있다/Adjective,던킨/Noun,도넛/Noun,이즈/Noun,버터/Noun,도넛/Noun,밍밍/Noun,한/Determiner,데/Noun,묘/Noun,하다/Verb,맛/Noun,남/Noun,스마일/Noun,케이크/Noun,촉촉/Noun,부드럽다/Adjective,맛/Noun,남/Noun,토요일/Noun,시/Noun,기준/Noun,분/Noun,상/Noun,대기/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,우유/Noun,생크림/Noun,인테리어/Noun,이사/Noun,고/Noun,나선/Noun,감성/Noun,조금/Noun,떨어지다/Verb,좌석/Noun,많아지다/Verb,굿/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,좋다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,스마일/Noun,스티커/Noun,귀/Modifier,여/Modifier,움/Noun,도넛/Noun,시장/Noun,꽈배기/Noun,맛/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,친구/Noun,존/Noun,맛/Noun,먹다/Verb,보다/Verb,맛있다/Adjective,하다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,천/Noun,원/Noun,더/Noun,내다/Verb,싱글/Noun,오리진/Noun,뜨다/Verb,어떻다/Adjective,이렇다/Adjective,커피/Noun,주인/Noun,아니다/Adjective,알바/Noun,분/Noun,뭐라다/Verb,하다/Verb,수도/Noun,없다/Adjective,도넛/Noun,사악하다/Adjective,가격/Noun,생각/Noun,하다/Verb,기대/Noun,이하/Noun,정말/Noun,맛없다/Adjective,기도/Noun,힘드다/Adjective,커피/Noun,이따위/Modifier,로/Noun,내놓다/Verb,태도/Noun,리뷰/Noun,남기다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,기다리다/Verb,먹다/Verb,정도/Noun,아니다/Adjective,서울숲/Noun,쪽/Noun,팔다/Verb,도넛/Noun,더/Noun,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,크다/Verb,플/Exclamation,만들다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,기다리다/Verb,먹다/Verb,정도/Noun,아니다/Adjective,그래도/Adverb,맛있다/Adjective,아주/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,특별하다/Adjective,게/Noun,없다/Adjective,줄/Noun,알다/Verb,우유/Noun,크림/Noun,예술/Noun,빵/Noun,예술/Noun,또/Noun,먹다/Verb,싶다/Verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,너무/Adverb,맛있다/Adjective,둥/Noun,살/Noun,찌다/Verb,때문/Noun,하나/Noun,깎다/Verb,여/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,도넛/Noun,맛/Noun,좋다/Adjective,유명하다/Adjective,가게/Noun,콘셉트/Noun,좋다/Adjective,유명하다/Adjective,곳/Noun,엇네/Noun,안/Noun,가보다/Verb,궁금하다/Adjective,테/Noun,하다/Verb,번/Noun,방문/Noun,하다/Verb,볼/Noun,만/Noun,가게/Noun,이다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,생크림/Noun,드/Noun,세요/Eomi,맛있다/Adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,플랫/Noun,화이트/Noun,시키다/Verb,라테/Noun,옴/Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
