,0,1,2
0,카페노티드 청담,그냥 그렇다 생각했는데 다른 곳에서 도넛 먹고나면? ㄷ ㄷ 킹티드 .. 잘되는 이유가 있다 근데 그냥 갤러리아 지하에서 먹는 게 ..갑자기 확장이전하더니 웨이팅 생김 멍미 ,4점
1,카페노티드 청담,우유크림 개맛있슴 근데 그만큼 혼잡해서 또 가고싶지 않은 곳..,3점
2,카페노티드 청담,도넛은 맛있는데 종업원들 대응이 너무 느려요. 한남이랑 삼성점도 가봤는데 여기가 유난히 손이 느린 듯.. 직원도 많은데 왜 이렇게 느린건지 이해가 좀 안되네요,2점
3,카페노티드 청담,도넛이 맛은 있는데 줄이 진짜 너엉어ㅓㅓ어어어어무 길다 예약해서 가져갈거면 가고 가서는 절대 못기다린다..,4점
4,카페노티드 청담,감사합니다,1점
5,카페노티드 청담,바닐라맛 맛있어요! 도넛 사는데.. 40분? 기다린거 같네요 . 이왕 간김에 조각 케이크도 사고 싶어서 같이 살라고 했는데 그러면 다시 줄을 서야 된다고 하네요. 못사서 아쉬웠어요. 이 점 개선 꼭 부탁드립니다. ,4점
6,카페노티드 청담,도넛 맛은 맛있음 대신 포장해서 갈거면 인내심 길러가야함 뭔가 포장하는 방식이 바뀌어야 할거같음,3점
7,카페노티드 청담,계산해주는 직원도 불친절하고 크로플도 두개시켰는데 집에 와서 열어보니 한개만 줬네요.....  다시는 안갈예정입니다..,1점
8,카페노티드 청담,좋아요,4점
9,카페노티드 청담,최고예요,5점
10,카페노티드 청담,빵들 다 맛있고 저렴한데다 매장 분위기도 좋은데 직원들끼리 좀 소통이 안되는 느낌이라 아쉬워요 계산할 때 빵은 어디서 받고 케익은 어디서 받는지 미리 말씀해주셨으면..,3점
11,카페노티드 청담,최고예요,5점
12,카페노티드 청담,먹고싶었는데 많이 안달아서 진짜 더 좋았던거같아요 줄 정리도 빨라서 좋았습니다,5점
13,카페노티드 청담,최고예요,5점
14,카페노티드 청담,노티드 맛있어요 ㅠㅠㅍ,5점
15,카페노티드 청담,"아쉬워요ㅠㅠ처음 노티드 알게 되고 먹었을 때의 설렘과 감동이 어느 순간부터는 안 느껴져요. 한 입 베어물고 눈이 뜨이면서 와 진짜 빵이 이렇게 다를 수 있구나 하고 그 땐 돈이 없어서 한두 개밖에 못 먹었는데 지금은 많이 살 수 있어도 감동의 맛이 없어요ㅜㅜ 그렇게 된지 몇 번 됐는데 혹시나 혹시나 하는 기대감에, 처음 그 맛을 잊을 수가 없어서 또 사먹고...",3점
16,카페노티드 청담,최고예요,5점
17,카페노티드 청담,"느끼하지 않고 막 달지 않아서 난 맛있던뎅, 개취인듯. 커피도 무난함. ",4점
18,카페노티드 청담,최고예요,5점
19,카페노티드 청담,당 떨어질 때 꼭 가보세요.,5점
20,카페노티드 청담,최고예요,5점
21,카페노티드 청담,노티드는 사랑,4점
22,카페노티드 청담,줄 길었는데 맛은 걍 쏘쏘,4점
23,카페노티드 청담,최고예요,5점
24,카페노티드 청담,낮에 사서 바로 먹을때 맛났는데 저녁에 먹으니 빵이 딱딱해지고 감흥이 없네 그리고 카야.앙버터 별로입니디다. 비추! ,3점
25,카페노티드 청담,맛있는데 줄 엄청 길어짐 음료는 그닥,3점
26,카페노티드 청담,귀엽,5점
27,카페노티드 청담,ㅈㅁㅌ,4점
28,카페노티드 청담,커스터드크림 진해요. 명란빵은 별로. 빵 자체가 맛있지는 않음..,4점
29,카페노티드 청담,맛있는 던킨도넛 딱 그 말이 맞다,3점
30,카페노티드 청담,"좀 더 맛있는 던킨도넛 이즈니버터도넛: 밍밍한데 묘하게 맛남 스마일케이크: 촉촉 부드러워서 맛남  토요일 5시 기준, 30분 이상 대기",4점
31,카페노티드 청담,마싯긴한데 단건 너무 담 & 사람이 조오오올라게 많음,3점
32,카페노티드 청담,우유생크림짱 인테리어 이사가고나서 감성은 조금 떨어졌으나 좌석 많아져서 굿,5점
33,카페노티드 청담,궁금해서 한번쯤 먹어볼만한 ㅎㅎ,3점
34,카페노티드 청담,좋아요,4점
35,카페노티드 청담,"스마일스티커 귀여움, 도넛은  시장 꽈배기 맛",2점
36,카페노티드 청담,친구가 존맛이래서 먹어봤는데 맛있긴하네요,5점
37,카페노티드 청담,"천원 더 내는 싱글 오리진 뜨아, 어떻게 이런 커피를, 주인도 아닌 알바분들에게 뭐라 할 수도 없고... 도넛도 사악한 가격을 생각한다면.... 기대이하.  정말 맛없기도 힘든 커피를 이따위로 내놓는 태도에 리뷰남김",1점
38,카페노티드 청담,기다려서 먹을정도는 아닙니다 서울숲쪽에서 파는 도넛이 더 맛있어요!,1점
39,카페노티드 청담,크로플만 드세요,4점
40,카페노티드 청담,"기다려서 먹을 정도는 아니지만, 그래도 맛있음 아주",4점
41,카페노티드 청담,보통이에요,3점
42,카페노티드 청담,특별한게 없는줄알았는데 우유크림이 예술이다. 빵도 예술이다. 또먹고 싶다 ㅜ.ㅜ,5점
43,카페노티드 청담,너무 맛있는뎅 살찌기때문에 하나 깎았어여. ㅠㅠ,4점
44,카페노티드 청담,도너츠 맛이 좋아 유명하기보다..가게 컨셉이 좋아 유명한 곳이엇네요~ 안가보면 궁금할테니..한번 방문해볼 만한 가게입니다~,2점
45,카페노티드 청담,생크림 드세요 맛있어요 !,5점
46,카페노티드 청담,그렇게 맛있다는 느낌은 안 들었는데 . . 아리까리 해서 다음에 다시 사먹어보려고요 ! 포장해와서 가족들이랑 같이 잘 먹었어요,3점
47,카페노티드 청담,플랫화이트 시켰는데 라떼 나옴 ○○○,5점
48,카페노티드 청담,맛이 없는건아닌데 그냥 일반 꽈배기에 크림 있는 맛이에요.... ,3점
49,카페노티드 청담,도넛은 보통이요. 커피는 맛있었어요. 2층에 날파리가 많아서 불편했어요.  주문하는 곳이 두곳인데 영어 필기체가 알아보기 힘들어서 한참 기다리다가 다른줄 가라는 안내 받았네요.,3점
50,카페노티드 청담,상담받고 사먹었는데맛있어요~~! 자꾸생각나는맛,5점
51,카페노티드 청담,한번쯤 가볼 만한 카페! 작지만 야외석도 있어서 좋음,4점
52,카페노티드 청담,포장하면 이렇게 이쁜 박스에 담겨 나와요 레몬슈가도넛 추천합니다.,4점
