,0,1,2
0,카페노티드 안국,맛있어요 좀 비싸긴하지만 늦게가면 남은거없음  요즘 코로나라 사람 덜함,4점
1,카페노티드 안국,밀크 존맛♡,5점
2,카페노티드 안국,맛은 있는데 항상 웨이팅이 길고 남은 메뉴가 몇 개 없네요 아쉽,4점
3,카페노티드 안국,맛은..평범해요.. 한사람이 도넛 계산 후 도넛을 받을 때까지 그 뒷 사람 주문을 안받아서.. 사람들이 대기줄이 생길 수밖에없어요 ㅎㅎ,2점
4,카페노티드 안국,존맛탱,5점
5,카페노티드 안국,좋아요,4점
6,카페노티드 안국,그냥 무난무난 .. 직원들이 너무 서로 친한듯^^;;,3점
7,카페노티드 안국,오늘 기준으로 저는 약 20분 정도 줄 섰구요 은근 기대하고 갔는데 저는 정말 맛있게 먹었어요! 리뷰가 왜이렇게 낮은지 모르겠지만 한국에서는 잘 먹을 수 없는 종류의 도넛 같아요ㅎㅎ  무엇보다 크림이 전혀 안달아서 제일 좋아요 다만 단점이 있다면 각격이 조금 비싸다는거?ㅠ 저는 정말 맛있게 먹었고 조만간 또 사먹으러 갈 것 같아요!,5점
8,카페노티드 안국,"너무 극찬하길래 직접 가서 포장해와서 먹어봤습니다.... 패키지랑 컨셉은 진짜 잘하신듯합니다만, (단연 돋보여요. 이거 하신 작가님 작품들도 다 귀염뽀짝하고 예쁘네요☺)  맛은 기대 이하였습니다 ㅠㅠ 가격대비도 별로구요... 그냥 던킨먹을게요 ㅠㅠ 사람마다 입맛은 다 다르니께유...",2점
9,카페노티드 안국,눈 내리는 날에 가지 마세요. 매장 안에 들어오지 말라고 내쫓깁니다. 인성 쓰레기 같은 남자직원인지 사장인지,1점
10,카페노티드 안국,한번쯤 기다려서 먹어볼만 해요 빵이 부드러워요 ,3점
11,카페노티드 안국,컨셉과 디자인의 승리. 맛 자체는 특별하진 않음.,3점
12,카페노티드 안국,앙버터 젤좋아함 우유크림 예전같지않음 내입맛이 변한건지ㅠㅠㅠ뭔지ㅠㅠㅠㅠ,3점
