,0,1,2
0,앤디스커피,별로예요,1점
1,앤디스커피,루프탑이 있어서 좋아용 ㅎㅎㅎ,4점
2,앤디스커피,"음료 괜춘헌디.. 갠적으로 맛있었음 근데 루프탑 청국장 냄새 오지는 거 인정,, 그 날만 그런 줄 알았는데 항상 나나보네",4점
3,앤디스커피,맛없음,2점
4,앤디스커피,5점준 사람들 평가내역보면 왜 앤더스커피밖에 평가가 없냐? ㅋㅋㅋ  리뷰쓰고 '상식적으로 이거먹고 5점을 줄 수가 없는데' 하며 궁금해서 보니까 개웃기네ㅋㅋ 5점준 날도 1월 6일에 치우쳐있음. ------------------------------------ 한줄 평은 아이돌로 홍보에만 신경쓰고 내실은 모든 방면에서 실패하였다.  1층에 음료 사진은 이쁘...,2점
5,앤디스커피,평소에 코코넛 스무디 마시는걸 좋아하는데 여기는 코코넛 스무디 커피가 있더라구요ㅋㅋㅋㅋ 신기해서 시켰는데 커피랑 섞어 마시니까 맛도 맛있고 카페 분위기도 좋아서 만족스러웠네요 ㅎㅎ,5점
6,앤디스커피,"생아보카도를 통으로 갈아넣은  아보카도 커피맛에  반해 항상 그거 마시러 가는곳입니다  날이 따뜻해져서 첨으로 루프탑올라가  딸기라떼마셨는데   너무 맛있네요 너무 달고 인위적인 색소맛 싫어 단음료안먹고 아메리카노, 라떼만 먹었는데  앤디스와선 달다구리만 찾게 되는군요  신선한 딸기 직접갈아넣어 마시니  자꾸 찾겠어요",5점
7,앤디스커피,"""음료가 진짜 너무 맛 없어요"" 일요일 점심시간대에 왔는데 일하는 분이 한 분이고, 사람이 그렇게 많지도 않은데 일단 음료가 ""너무"" 늦게 나옵니다. 6900원 생딸기쥬스, 쥬시보다도 못 한 맛입니다. 제일 중요한 커피도 모조리 맛 없습니다ㅠㅠㅠㅠ 아메리카노 4900원, 이 맛엔 말도 안되는 가격입니다. 피치아메리카노는 아이스티에 샷 추가한 괴랄한 맛입니다...",1점
8,앤디스커피,흑당 버블티 펄 딱딱한데 비싸긴 엄청비쌈 (7300원). 얼음만 많고 양도 적어서 돈아까워요. 절대 가지마세요,1점
9,앤디스커피,마롱라떼 맛있음,5점
10,앤디스커피,진짜 ㅜㅜㅜ너무 사장님이 착하시고 음료가 마싯써요 ㅠㅜㅠ ,5점
11,앤디스커피,컵홀더 너무 만족스러워요ㅎㅎ 태형이꺼 또 받고싶어요ㅜㅜ,5점
12,앤디스커피,음료 맛있고 카페 분위기가 예뻤어요! 루프탑까지 있어서 커피 마시기 좋았습니다♡,5점
13,앤디스커피,분위기와 음료 다 좋아요~~,5점
14,앤디스커피,직원분들이 너무 친절하게 해주셔서 기분 좋았습니다 ㅎㅎ 또올게요,5점
15,앤디스커피,아보카도 커피 맛있어요   ~.~,5점
16,앤디스커피,와 정말...음료도 냉동케이크도 맛도 없고 안에서 먹는데 하나같이 일회용품만 쓰고... 정말 다시 가고싶지 않은 곳..,1점
17,앤디스커피,냉동케이크맛 크림바나나라떼는 노맛(맛이 안 느껴짐) 밤라떼는 그나마 낫뱃 관광지에서 기대하고 시켰다가 눈탱이 맞은 맛임. 아이돌 때문에 온다면 말리지 않겠는데 어디 가서 디저트카페라고 하면 안 될 맛임ㅡㅡ,1점
18,앤디스커피,최고예요,5점
19,브런치가,브런치 양 많구 커피 맛있음,5점
20,브런치가,좋아요,4점
21,브런치가,쏘쏘!!,3점
22,브런치가,"They look good in pics, but they actually close at 22, and after 20 they just have coffe. How the hell a place called brunch just have coffe?! ",2점
23,브런치가,"팬케이크 플레이트에  아기 손바닥 사이즈 7cm의 팬케이크 두 개와  초미니 와플, 풀 몇 조각,  소시지 하나 베이컨 한줄과 알감자 두어 개... 이렇게 한 접시에 17,000원을 주고 먹으러  다시 올 것 같지 않네요.",1점
24,브런치가,별 0개는 없나요?ㅋㅋㅋㅋㅋ 리뷰를 살다가 처음남겨봐서 어디서 쓰는지 한참 찾았네ㅋㅋㅋ곁들이는 샐러드가 상추만 나오는데 마트에서 파는 샐러드 한봉 사다가 한줌만 얹어도 이 비주얼은 아닐듯요ㅋㅋㅋㅋㅋ 베이컨 한조각에 4000원 정도 할것 같네ㅋㅋㅋㅋㅋㅋ하.....블루베리 잼도 무슨 약맛이 나고요......말하면 입아픔....메뉴개선 시급할것 같아요. 주변 벤...,1점
25,브런치가,별로예요,1점
26,브런치가,조금 아쉬워요,2점
27,브런치가,"인테리어, 분위기, 음식 모두 좋았어요◡̈  직원분들 모두 친절하시고 음식도 정갈하게 잘 나왔습니다. 양도 푸짐해서 맛있게 잘 먹었어요. 입구부터 카운터까지 조명이 너무 예뻐서 사진이 잘나와요! 공기 좋은 날이면 야외테이블도 추천합니당 느긋하게, 분위기 좋게 맥주마시기 넘나 좋은 곳이에요◡̈ ◡̈ ◡̈ ◡̈ ◡̈ ",5점
28,브런치가,너무 sns에 호평이많은듯. 음식 맛 가격대비 너무 별로네요. 조미료맛이 너무 나고 음식에 딱히 정성이 없어보여요. 비추입니다,1점
29,브런치가,분위기 좋아요 음식맛은 그럭저럭,5점
30,브런치가,분위기 보러오는곳 커피나 음식은 절대 기대하지 마시길,1점
31,브런치가,정말 실망이네요 온통 코스트코 냉동 야채로 만든듯한 배가 고파도 먹고싶지않은 음식에대한 마음이 너무도 빈약한  다시는 가지 않을 곳입니다.. ,1점
32,브런치가,"코로나때문에 오랜만에 방문했네요. 야외좌석이 있어서 너무 좋아요. 오늘은 바람이 불어서 실내에서 식사했네요.  여기는 항상 식기, 수저등이 너무 깨끗해서 마음이 놓여요. 손님이 예전보다 많이 줄었지만, 항상 친절한 직원분들께 감사드림니다. 번창하세요.",4점
33,브런치가,지나가다가 멋진 주택에 브런치 가게라길래 기대하고 들어갔는데 내부 보자마자 실망... 브런치 메뉴는 다양했지만 가격 대비 맛은 그냥저냥이었구요. 비싼 돈 주는데 왜 직접 세팅하고 식기 가져다놔야하는지.. 보통 그런거는 인건비 줄이는 대신 가격으로 손님들에게 어필할때 하는 방법 아닌가요? 남편이랑 다신 갈일 없겠다며 나왔습니다. 그리고 실내가 너무 시끄러웠어...,1점
34,브런치가,"베이컨치즈오믈렛...? 내가 집에서 한 망한 오믈렛같았음 받자마자 기름이 가득 깔려있어서 당황했고 계란에도 기름맛이 가득 배어있고 내용물은 왠 브로콜리밖에... 브로콜리 좋아하지도 않는데 설명 어디에도 없었음 ㅠ 같이 간 분은 기본 플레이트 먹었는데 정말 평이한 맛이었음. 음료 값도 따로 받아서 둘이해서 거의 4만원돈이었는데,, 그 돈 주고 다신 안가욧,,...",2점
35,브런치가,평일 3시에 방문했더니 2층은 막아두고 1층만 사용가능했습니다. 1층은 공간이 협소한 편이었고 처음 앉은 자리는 테이블이 너무 흔들려서 다른 자리 빈 후에 앉았습니당. 프렌치토스트 13.5 오믈렛 13.5 였는데.... 퀄리티가 너무너무 별로였습니다... 그냥 식빵에 계란물 묻혀서 구운거에 메이플시럽 찍어먹는... 플레이팅도 보시다시피 별로 없었고요. 오믈...,1점
36,브런치가,맛없던데,2점
