,location,cafe_name
0,강남역,카페노티드 청담
125,강남역,블루보틀 역삼
166,강남역,랑데자뷰 강남점
196,강남역,꽁티드툴레아 도산점
225,강남역,카페캠프통 압구정살롱점
242,강남역,10꼬르소꼬모카페
299,강남역,썸띵어바웃커피
337,강남역,카페써드
339,강남역,펠트커피 도산공원점
382,강남역,아우어베이커리 싸이더스점
400,강남역,소진담 신사점
441,강남역,파넬카페
471,강남역,껠끄쇼즈
506,강남역,달링키친
536,강남역,고센
614,강남역,에잇디
636,강남역,로얄마카롱
667,강남역,크리에잇쿠키 역삼점
684,강남역,미엘
757,강남역,세드라
785,강남역,겟썸커피
822,강남역,더닐크팩토리 가로수길지점
856,강남역,맷카페
895,강남역,SM타운카페
900,강남역,이브닝블루
909,강남역,세시셀라 도산공원점
991,강남역,마일스톤커피
1053,강남역,데칸트
1080,강남역,카페레이어스튜디오
1090,강남역,빵어니스타 압구정점
1118,강남역,클라우즈비
1142,강남역,67soho
1172,강남역,카페블라썸 강남점
1196,강남역,듀자미
1302,강남역,트리아농
1327,강남역,빌리엔젤 강남역점
1368,강남역,가비터
1395,강남역,기욤 청담점
1456,강남역,도레도레 신사점
1550,강남역,가배도 신논현점
1597,강남역,연립빵공장
1681,강남역,쉼스토리
1695,강남역,키이스케이프 강남점
1697,강남역,루프808
1735,강남역,카페인더핑크
1743,강남역,트리스트
1758,강남역,아우어커피 강남점
1786,강남역,폴인팬케이크 강남점
1816,강남역,다노이 선릉점
1820,강남역,룸서비스301
1850,강남역,타이거슈가 청담점
1857,강남역,웻커피 신사점
1875,강남역,논탄토
1907,강남역,치카리셔스
1917,강남역,파시0914
1920,강남역,카페뮬라
1948,강남역,정식카페
1964,강남역,까치화방 강남점
1991,강남역,카페키츠네 서울
2004,강남역,수수커피
2049,강남역,평화다방 강남역점
2076,강남역,테라로사 코엑스점
2125,강남역,이디야커피랩
2225,강남역,디올카페
2236,강남역,수수커피 가로수길점
2264,강남역,식물원282
2281,강남역,비트포비아 강남던전점
2287,강남역,카페봄
2292,강남역,코드케이 강남점
2306,강남역,카페알케미
2333,강남역,커피스미스 가로수길점
2376,강남역,카페그라쎄
2395,강남역,나이브커피
2401,강남역,스타벅스 청담스타R점
2421,강남역,모스가든
2431,강남역,모찌방
2443,강남역,겟썸커피 신사점
2463,강남역,브라운핸즈 도곡점
2496,강남역,후웨이즈텐카민
2509,강남역,아임뮤트
2540,강남역,투썸플레이스 신논현역점
2575,강남역,브라운홀릭
2608,강남역,나따오비까 신사점
2639,강남역,엠마앤리아
2667,강남역,스크렘
2687,강남역,아카시아
2696,강남역,르사이트
2711,강남역,이스트덜위치
2722,강남역,타이거슈가 삼성로점
2725,강남역,파란만잔
2739,강남역,카페엘씨엘로
2749,강남역,룸카페 바니
2753,강남역,데바스테이트 청담본점
2766,강남역,에이바우트커피 서울역삼점
2776,강남역,뮬리
2785,강남역,날웃게해
2792,강남역,숲숨그레이
2837,강남역,난만
2839,강남역,오너스
2848,강남역,루소랩 청담점
