,커피/Noun,가격/Noun,직원/Noun,분위기/Noun
하다/Verb,1.0177346e-13,1.354741e-18,1.29349216e-14,1.5074328e-15
좋다/Adjective,1.4405351e-12,5.6903934e-18,1.5847797e-15,3.0571795e-11
맛있다/Adjective,8.5318444e-13,3.721021e-17,1.7479312e-16,1.3459821e-13
맛/Noun,3.4066232e-11,3.6504045e-15,1.5903263e-16,1.2846562e-13
커피/Noun,1.0,9.616869e-16,8.9316474e-17,6.0984494e-12
있다/Adjective,8.471841e-14,1.3135008e-18,4.4180636e-17,2.3264814e-14
너무/Adverb,8.180243e-13,1.6794943e-17,2.5787977e-14,8.594694e-13
먹다/Verb,9.867863e-16,3.178252e-20,2.9383728e-19,1.4301112e-18
분위기/Noun,6.0984494e-12,3.5529674e-17,1.8930673e-16,1.0
안/Noun,1.4171882e-15,9.7519114e-20,1.5030395e-16,1.0338659e-17
최고/Noun,1.09951666e-13,1.05714755e-19,1.52612e-17,1.2467492e-14
카페/Noun,7.473622e-14,1.242232e-18,5.601898e-17,1.2748882e-12
없다/Adjective,9.796488e-16,4.2872456e-19,5.910038e-17,1.772675e-17
곳/Noun,9.642331e-15,8.094497e-19,2.4350048e-17,9.4141397e-14
가다/Verb,1.771021e-15,9.872581e-21,1.2436653e-16,2.463606e-16
않다/Verb,4.2953413e-15,1.3692991e-18,1.0187895e-16,2.671741e-16
케이크/Noun,4.264421e-14,1.4915401e-18,3.1801716e-18,1.8104682e-16
것/Noun,1.2744704e-15,1.7509126e-18,1.02273015e-16,1.6870783e-16
직원/Noun,8.9316474e-17,9.1269235e-20,1.0,1.8930673e-16
많다/Adjective,3.4365804e-17,3.544988e-20,1.1352283e-17,7.9917525e-17
같다/Adjective,1.3679744e-16,5.1338973e-21,7.0546234e-20,2.978914e-18
친절하다/Adjective,5.796523e-17,3.4005423e-21,1.9843098e-17,3.3687392e-15
가격/Noun,9.616869e-16,1.0,9.1269235e-20,3.5529674e-17
사람/Noun,4.7327536e-17,3.0726044e-20,2.2562605e-16,3.6956994e-17
보다/Verb,5.3128875e-15,1.9446653e-20,1.0682928e-17,5.6378705e-17
다/Adverb,1.1323328e-13,4.3794846e-18,1.6596316e-15,5.988864e-15
음료/Noun,1.0631336e-10,1.493108e-15,1.8561395e-17,9.504726e-15
되다/Verb,6.801348e-17,5.7922676e-21,3.92997e-18,6.7499835e-19
보통/Noun,1.3222256e-14,7.275019e-17,1.5331036e-18,1.3821428e-15
거/Noun,3.7262624e-17,2.8255023e-20,1.9909976e-17,3.6884443e-18
오다/Verb,1.6070359e-16,1.8699738e-20,7.517899e-18,2.7004092e-17
정말/Noun,1.6525026e-11,6.0461034e-18,5.6111427e-15,9.446144e-13
아니다/Adjective,1.8797912e-15,1.7794152e-18,8.0324247e-19,6.4411036e-18
진짜/Noun,9.026127e-14,1.2026722e-18,1.2523066e-15,3.1762848e-15
별로/Noun,9.437052e-16,1.3983317e-18,5.358002e-18,3.3467178e-17
좀/Noun,2.5995353e-17,1.5309005e-18,5.8094673e-19,2.8930505e-18
비싸다/Adjective,1.0048022e-16,4.933204e-16,1.06324584e-20,7.270632e-18
때/Noun,9.12387e-18,7.8880524e-23,6.093036e-18,3.4755764e-18
요/Noun,2.0816595e-12,9.1799426e-17,1.2230221e-14,2.7501642e-13
수/Noun,2.3483208e-19,5.874618e-23,8.626138e-22,1.4488959e-19
싶다/Verb,4.4778202e-18,1.2374432e-22,1.2068208e-20,1.1418338e-18
괜찮다/Adjective,4.2009367e-13,3.8248573e-17,6.537048e-18,3.956331e-14
그냥/Noun,5.906663e-15,1.621963e-18,8.1127667e-19,1.2716574e-17
듯/Noun,8.834881e-14,7.7096674e-18,2.316251e-16,8.5912556e-16
들다/Verb,6.8493334e-17,3.126757e-21,7.520882e-18,4.6321027e-18
라테/Noun,1.6479048e-14,9.333806e-22,1.3088216e-22,1.5219556e-19
그렇다/Adjective,3.94531e-16,1.7298002e-19,9.886201e-18,2.7807142e-17
빵/Noun,5.5560323e-14,1.1947164e-17,7.839596e-18,6.785126e-17
여기/Noun,5.2183945e-14,1.5659018e-18,4.53922e-17,4.774465e-15
더/Noun,5.264107e-15,4.6731006e-18,1.648027e-18,9.6716816e-17
자다/Verb,2.639462e-19,1.2737314e-23,7.881083e-21,4.9987026e-19
자리/Noun,5.5649323e-21,1.3504401e-22,4.0021606e-20,1.5547289e-19
디저트/Noun,2.95932e-14,1.4810407e-17,1.3045822e-18,1.6668177e-14
