,커피/Noun,가격/Noun,직원/Noun,분위기/Noun,디저트/Noun
하다/Verb,1.2066204e-13,1.2230104e-18,2.542898e-14,2.6624533e-15,5.9336707e-16
좋다/Adjective,1.2856473e-12,1.0814093e-17,1.5585444e-15,2.8858247e-11,3.2900998e-15
맛있다/Adjective,6.153303e-13,3.5662883e-17,8.74634e-17,1.459671e-13,3.8784253e-14
맛/Noun,2.5587676e-11,5.955761e-15,8.080252e-17,1.4570174e-13,9.883506e-14
커피/Noun,1.0,2.994686e-16,1.05897356e-16,7.660835e-12,4.3334927e-14
있다/Adjective,8.872861e-14,1.413353e-18,1.2518091e-16,3.6835376e-14,9.035552e-17
너무/Adverb,1.397688e-12,2.3172045e-17,3.4778183e-14,1.1579353e-12,5.5219793e-15
먹다/Verb,8.741608e-16,8.023448e-20,4.9520517e-19,1.8733887e-18,2.885018e-17
분위기/Noun,7.660835e-12,2.084296e-17,6.765667e-16,1.0,2.6962087e-14
안/Noun,4.5916084e-16,8.1992857e-20,2.5582878e-16,1.9253807e-17,7.973904e-18
최고/Noun,1.7653634e-13,1.1155912e-19,2.3321381e-17,2.1745912e-14,3.000575e-16
카페/Noun,9.1444633e-14,2.8679318e-18,7.420374e-17,3.171247e-12,1.0344785e-15
없다/Adjective,1.1773893e-15,1.7060131e-18,3.5147383e-16,3.881298e-17,7.0546305e-18
곳/Noun,1.5415397e-14,9.398704e-19,3.6992536e-17,1.7272372e-13,1.2622338e-16
가다/Verb,2.4188339e-15,7.258345e-21,2.430904e-16,3.843596e-16,3.102478e-17
않다/Verb,1.9114414e-15,1.4635227e-18,1.4827542e-16,4.443164e-16,2.1271085e-17
케이크/Noun,2.9656314e-14,3.56713e-18,3.2956092e-18,5.0737496e-16,2.4771352e-11
것/Noun,2.43008e-15,1.1696297e-18,2.3456116e-16,2.2858801e-16,2.68146e-17
직원/Noun,1.05897356e-16,8.625258e-20,1.0,6.765667e-16,2.5438143e-18
많다/Adjective,3.4994054e-17,5.700599e-20,2.5227202e-17,3.7876147e-17,6.939191e-19
같다/Adjective,1.8370857e-16,9.047778e-21,3.0176624e-19,9.180358e-18,6.3442163e-19
친절하다/Adjective,1.1009776e-16,4.6912046e-21,8.292659e-17,4.405194e-15,5.986342e-18
가격/Noun,2.994686e-16,1.0,8.625258e-20,2.084296e-17,1.7818001e-17
사람/Noun,7.506383e-17,1.9419818e-20,4.781316e-16,1.0017901e-16,4.6415984e-19
보다/Verb,4.309094e-15,2.0313325e-20,1.8925318e-17,9.189122e-17,7.7904995e-17
다/Adverb,2.7303867e-13,4.928327e-18,3.1755456e-15,1.6638319e-14,2.3714703e-15
음료/Noun,1.1590302e-10,9.722475e-16,2.27106e-17,1.2901758e-14,1.3713569e-13
되다/Verb,3.8445618e-17,4.1398633e-21,6.059288e-18,6.916964e-19,3.2552496e-19
보통/Noun,1.7187838e-14,7.617269e-16,3.9036134e-18,3.683908e-15,2.4450773e-16
거/Noun,5.4947414e-17,4.195973e-20,7.638361e-17,3.5035574e-18,1.6490648e-18
오다/Verb,3.106127e-16,3.3365532e-20,5.061781e-17,1.0712888e-16,2.3316476e-18
정말/Noun,2.8001332e-11,1.1642572e-17,1.0849107e-14,2.045719e-12,9.40027e-14
아니다/Adjective,1.9156095e-15,8.832769e-19,1.2408396e-18,1.467073e-17,1.4556998e-18
진짜/Noun,3.0298637e-13,2.3835836e-18,2.0709674e-15,1.2280009e-14,4.0559796e-15
별로/Noun,2.9836481e-16,6.9841775e-19,4.737068e-18,1.2998637e-17,6.8650545e-17
좀/Noun,1.6088446e-17,9.459745e-19,8.283071e-19,1.8290984e-18,2.875445e-19
비싸다/Adjective,8.718657e-17,1.0923228e-15,1.04136953e-19,8.726206e-18,4.1415118e-18
때/Noun,1.0351089e-17,7.454084e-23,1.2061416e-17,4.071351e-18,1.6035307e-19
요/Noun,1.2881042e-12,5.0241144e-17,2.8066416e-14,4.0747722e-13,1.8781425e-15
수/Noun,4.69248e-19,1.0432009e-22,1.1284474e-21,1.9747027e-19,3.3522692e-21
싶다/Verb,5.2850046e-18,7.9943196e-23,2.9209483e-20,1.1431891e-18,1.0012538e-19
괜찮다/Adjective,2.8881734e-13,4.073373e-17,1.9479425e-17,3.4927424e-14,2.4785668e-15
그냥/Noun,2.4746615e-14,4.240825e-18,2.2633353e-18,3.52634e-17,1.3575507e-17
