,0,1,2
0,C27 가로수길본점,치즈케이크 종류가 정말 다양하고 맛있다. 카페 분위기도 괜찮다.  근데 한 조각이 정말 슬림하고 작은데 왜그렇게 비싸게 받아요? 플레인 한조각 9천원,2점
1,C27 가로수길본점,케익 존맛,5점
2,C27 가로수길본점,케이크가 맛있긴 함,3점
3,C27 가로수길본점,네고왕덕분에 할인받았지만 할인된가격도 비싸다 비싼값하면 괜찮은데 차라리 파바 치즈케이크가 낫다 ㅜ,1점
4,C27 가로수길본점,맛있셔,5점
5,C27 가로수길본점,음료들은 다 평타 쏘쏘 치즈케익은 진짜 꾸덕하니 맛있고 브라우니도 맛남 매장 찐 크고 게임기도있고 좋은데 가격이.. 진짜 비싸다  그래도 그 값을 한다,4점
6,C27 가로수길본점,치즈케익 전문점! 비싼데 종류도 많고 커피랑 마시면 행복,4점
7,C27 가로수길본점,분위기도 좋고 케이크도 맛있으나 일회용 포크는 별로였음,4점
8,C27 가로수길본점,가격이 창렬이긴한데 가로수길이 전부 창렬이니 어쩔 수 없다 봄. 케이크는 맛있음.,3점
9,C27 가로수길본점,다른 치즈케이크도 먹어보고 싶다 비싸다,3점
10,C27 가로수길본점,맛은 그냥 그런데 가격은 너무나 비싸서 놀랐어요... 저 3개에 2만 2천원 넘게 나왔어요... 자리값 포함이라 생각 할게효....,3점
11,C27 가로수길본점,보통이에요,3점
12,C27 가로수길본점,좋아요,4점
13,C27 가로수길본점,"문 달린 방은 친구들끼리 편안하게 대화하기 좋았음  갔을 때 한여름이었는데 3층 에어컨 다 꺼져있어서 켜달라고 하니 응대는 최악 ;; 너무 불친절,, 그래도 플레인치즈케이크? 존맛 가격은 사악하지만 맛은 있고 근처 간다면 재방문 의사도 있음",4점
14,C27 가로수길본점,가성비 최악 아무리 관광지로 유명한 가로수길이지만 너무 형편없는 맛임  ,1점
15,C27 가로수길본점,케익 맛있음,5점
16,C27 가로수길본점,직원들이 진짜 불친절함. 마스크도 안쓰고 응대;,1점
17,C27 가로수길본점,자리가 넓고 많아서 좋아요,5점
18,C27 가로수길본점,비싸고 제 입맛엔 너무 별로인 케이크,1점
