,0,1,2
0,아르무아,"가볼만해용 근데 치즈케이크 좀 물림,,,ㅎ",4점
1,아르무아,단점은크게없는데 음료맛없어여 화장실은깨끗함,3점
2,아르무아,보통이에요,3점
3,아르무아,보통이에요,3점
4,아르무아,길가다가 분위기가 이뻐서 들어갔는데 직원분께서는 말 자체만 친절하지 말투와 어감은 약간 손님무시느낌이라 주문부터 불편했어요...가격도 착하지않은데 프라푸치노 얼음은 다갈려서 나오지도 않아서 청포도사탕만한게 4개정도는 있었습니다.. 손님이 와서 불편한건지 왜이렇게 친절하지않으신걸까요... 저는 굳이 추천하고싶진않습니다..,1점
5,아르무아,공간은 너무 예쁜데 커피가 이렇게나 맛이 없을수가,2점
6,아르무아,에이드랑 당근사과주스 맛있어요! 친절해서 재방문 한 곳! 입구가 예뻐요. ,5점
7,아르무아,"인테리어는 1층 5점, 2층 3점. 커피....는 1점.",3점
8,아르무아,카페 너무 예쁘다,5점
9,아르무아,단 거 좋아하면 치즈케이크 추천! 완전 귀엽고 맛있어요,5점
10,아르무아,최고예요,5점
11,아르무아,초코케이크존맛,5점
12,아르무아,아무것도 모르고 입구에서 당황해야 제맛,4점
13,아르무아,사장님 센스가 엿보이는 카페 다만 자리 부족,4점
14,아르무아,여름에 옥탑을 너무 좋아해요. 분위기 진짜 좋아요. ,5점
15,아르무아,최고예요,5점
16,아르무아,음료 종류 많지않고 맛도 평범. 다만 저 치즈케이크로 승부보는 것 같았는데 세상에 설탕막으로 고정했을거란 생각은 했지만 저 노란 껍질이 다 설탕이라니ㅋㅋㅋㅋ 셋이서 가서 시킨 케익중에 제일 달더란... 너무 달아서 다 벗겨내고 먹었음... 티라미수는 치즈 하나 없이 생크림만 올라간 커피빵이고 생크림 카스테라는 스벅 베이크 고렴이 버전일 뿐 메리트없음... ...,1점
17,아르무아,제리치즈케이크 맛있어요,4점
18,아르무아,인스타갬성카페. 2층은 테이블 너무 많고 다닥다닥&시끄러워서 아래층에 있었습니다. 인테리어가 예뻐서 한 번 가볼 만합니다. 그치만 너무 시끄럽고 빽빽해서 대화말곤 다른 거 못할듯,2점
19,아르무아,평일 오전에 가서 그런지 우리밖에 없어서 좋았음  음료양이 적긴했는데 ㄱㅊ았음 ,3점
20,아르무아,인테리어는 예뻤는데 사람 너무 많고  테이블 간격 다닥다닥이라 완전 시끄러웠음,2점
21,아르무아,비엔나 커피 마셨는데 너무 맛없었어요;,1점
22,아르무아,건대 메인 거리에 거의 유일하게 있는 예쁜 감성 카페 음료나 디저트 맛은 보통인데 카페가 예뻐서 좋음. 사람 진짜 많음,4점
23,아르무아,분위기좋아요,4점
24,아르무아,분위기 좋아요! 커피도 적당히 맛있고 케잌도 귀여워요~~~,4점
25,아르무아,평일 오전에 갔는데 알바가 친절하고 비엔나라떼가 맛있어요 분위기도 체고,5점
26,아르무아,인테리어는 예쁘긴 한데 닭장..ㅠㅠ 케이크 맛없음. ,1점
27,아르무아,이쁘고 와이파이됨. 바닐라라떼 딱 적당히 달고 맛있음. 사람 좀 많고 시끄러움,4점
28,아르무아,사람이 많긴한데 인테리어가 이쁘고 다들 너무 친절하세요 직원분 목소리 최고...,5점
29,아르무아,오늘 처음 가봤는데 일하시는분들도 친절하시고 다 잘생기시고~~ 인테리어도 엄청 좋고~~  음료도 좋았고~~ 다 좋았어요^^,5점
30,아르무아,건대에서 손에 꼽을만함,5점
31,아르무아,호영이네 커피 맛은 흠,3점
32,도우터,"분위기도 정말좋고, 과일와플이 넘 이뻐요! ",5점
33,도우터,음식 나오는 데 25분 걸리고 맛도 가격에 비해서 잘 모르겠네요ㅜ 마트에서나 볼 법한 베이크드빈 통조림과 소세지만 잔뜩...그리고 매장이 너무 추워요...,1점
34,도우터,재방문의사 × 서비스는 좋았어요! 인테리어도 나쁘지않고 무난한 카페예요,3점
35,도우터,직원분도 친절하시구 인테리어도 예뻐요 ! 크로플도 무난하게 맛있었어요 ,4점
36,도우터,우오.. 알바생들도 친절하시규 건대에서 이런 가성비 맛집.. 가격에 비해 퀄이 절대 떨어지지 않는 나만 알고 싶은 맛집쓰.. 친구들이랑 허겁지겁 해치웠어여..굳 ㅠ,5점
37,도우터,인테리어도 예쁘고 음식도 맛있었습니다. 바질페스토 크림 파스타가 간이 딱 맞았고 피자도 좋았어요. 치즈와 핫소스를 종지에 담아주는 가게는 처음봐요.,4점
38,도우터,"굉장히 맛있었다. 특히 샐러드와 파스타 최고임. 인테리어 및 내부도 좋고, 오랫동안 먹으며 진솔한 얘기가 가능할 정도의 좋은 장소.",4점
39,도우터,아메랑 브런치 맨아래메뉴 먹었는데 괜찮았어요 가격은약간 있는편,4점
40,도우터,"분위기, 맛 둘 다 좋아요. 가격이 조금ㅠ에이드는 직접해먹어야하는 식입니다. 복숭아보단 라임이 상큼하고 맛있었어요.",5점
41,도우터,일반 카페라기 보다는 브런치 카페 느낌이더라구요. 편하게 앉아서 이야기할만한 공간은 아니었고 빨리 식사하고 나가야할 것 같은 느낌이었어요..!,3점
42,도우터,최고예요,5점
43,도우터,아 개죽이네요,5점
44,도우터,최고예요,5점
45,도우터,너무 맛있었어요. 직원님? 사장님?도 안내 해 주시면서 엄청 조심스럽게 혹시 일행분 있으시냐고 물어 봐 주셔서 전혀 기분 안나빴어요! 브런치 다 먹고 나니깐 빼빼로 데이라 그른지 디저트도 서비스로 주심ㅠ 천사에요 진짜 번창하세요♥️♥️,5점
46,도우터,맛과 서비스 좋습니다,5점
47,도우터,별 1점도 아까운 가게 여기 직원서비스가 왜이렇게 엉망이죠?  사장님 이글 보고 계시면 직원교육부터 하세요 혼자가서 브런치도 못먹는 카페인지?? 혼자왔으니까 혼자 온건데 다른 일행 오냐고 물어보는건 무슨 태도인가요? 혼자 온 사람은 밥 먹지도 말라는거에요 뭐에요!! 브런치 주문하기도 전에 너무 불쾌해서 나왔어요  옆 테이블 앉은 남자애 여자애 둘도 정말 싫...,1점
48,카페히릿,제가 가본 애견카페중 제일 쾌적하고 아이들도 폭신하고 순한곳임~~,5점
49,카페히릿,"태어나서 애견카페를 처음가봤어요. 강아지들 어떤 사연으로 저런데 사는지는 모르겠지만, 마음 아픕니다. 그야말로 개판, 강아지를 위한 환경이 전혀 아닙니다.  갈곳없는 애들 떼거지로 데려와 주인은 돈버나보죠.  물론, 유기견센터갈바에는 저런데 사는게 좋겠지만요...  ... 가서 마음아파서 돌아왔어요.",1점
50,카페히릿,대형견들 입질이 너무심해 소형견은 절대가지마세요 냄새도 너무심하고 무료운영이라해도 가기싫은환경이네요,1점
51,카페히릿,깔끔해서 좋음,4점
52,카페히릿,갱얼쥐,5점
53,카페히릿,"상주견들 너무 귀여우나 ,, 애견 동반으로 가기엔 별루에요 간식 파는거 강아지들 줄 수 있다는데 설명 안해 주셔서 저희 강아지도 간식 막 먹을 뻔 했네요 미리 간식 줘도 되냐 물어봐주셨으면 좋았을거같아요  어린이들 너무 많이 와서 불편했어요 상주견들은 다들 순한거같아서 괜찮았지만,,  강아지 안데려가시고 그냥 강아지 만지고싶으신 분들 가세요 ,, 애견 동반...",1점
54,카페히릿,강아지들 너무 사랑스럽고 폭신하고 귀여워요...,5점
55,카페히릿,최고예요,5점
56,카페히릿,대형 댕댕이들이 졸귀인 이곳! 댕댕이들하고 노는 맛에 가는데 굿굿~,4점
57,카페히릿,진정한 좋은뜻의 개판ㅋㅋㅋㅋㅋ 간식있는자만이 견심을 얻을것이오,4점
58,카페히릿,친절합니다,5점
59,아오스요거트,요거트가 진짜 꾸덕꾸덕하고 맛있었는데 너무 꾸덕해서 뻑뻑할 지경 ㅋㅋㅋㅋㅋㅋ 꼭 과일많이 넣어드시길..!  조합을 다양하게 할 수 있어서 좋았음 그래놀라 양은 좀 많이 아쉬웟음 ㅠㅠ    / 20200203 ,3점
60,아오스요거트,비싸지만 맛있음 그린티 요거트는 극극불호 ㅜ,3점
61,아오스요거트,짱맛탱입니다 .. 진짜 크림치즈같은 꾸덕한요거트고 신맛 일도없어요 그릭요거트는 여기가 최곱니다ㅠ,5점
62,아오스요거트,맛있음 냠냠굿,5점
63,아오스요거트,꾸덕꾸덕 묵직한 치즈같은 요거트 ㅠㅠ 넘맛있어용 ,4점
64,아오스요거트,대체적으로 단 편이지만 맛있음.  그치만 개선되지 않는 어리버리한 직원고용은 분명히 사장에게 책임이 있다.  음식에는 불만 없고 아주 만족!,3점
65,아오스요거트,주문이 누락된 건 둘째치고 아무리 급해도 요거트 안에 뚜껑 넣어져 있는 건 너무 충격적인데요,1점
66,아오스요거트,건대 갈 때마다 들림. 엄청 꾸덕하고 토핑 조합이 최고,5점
67,아오스요거트,"최근에 알게 된 그릭요거트집이에요! 요근래 두번 방문해서 플레인대용량 테이크아웃 했었는데요, 갈 때마다 꾹꾹 눌러담아주시고 아주 꾸덕하니 신 맛없이 고소하고 정말 맛있어요 제가 딱 좋아하는 맛과 식감 ㅠㅠ최고최고 집이 가까웠다면 정말 매일 갔을거 같아요!!! ",5점
68,아오스요거트,최고예요,5점
69,아오스요거트,집 근처라 여러번 방문했지만 항상 느끼는 게 직원분들이 대체로 불친절합니다. 요거트는 꾸덕한데 끝막이 좀 많이 텁텁해요,2점
70,아오스요거트,쫀쫀맛♥,5점
71,아오스요거트,맛은 너무 좋고 분위기도 너무 좋아서 또먹으러 오고싶은데 일하시는분들... 너무 예의가 없네요ㅠㅠ 오픈때 부터 간게 아닌데 무표정한얼굴와 휴지가 없어서 달라고하면 그냥 주시고 대꾸 조차없더라고요..ㅎ ,1점
72,아오스요거트,이건 간식이 아니라 한끼 식사네요..!,4점
73,아오스요거트,꾸덕한 건 그릭요거트 특징이고   성수동보다 가격 싼 편  맛 괜찮,4점
74,아오스요거트,오기전에 비싸고 양이 적다는 얘기는 들어서 마음의 준비를 하고있었는데 양이 너무 너무! 조금이어서 실망을 했어요...이럴꺼면 집에서 좀 더 싼가격으로 만들어먹지.....맛도 정말 별로네요. 요그르트가 아니라 무슨 텁텁한 치즈크림 먹는것 같아요. ,1점
75,아오스요거트,비싸고 양이많진 않지만 그럼에도 불구하고 몇번 갈 정도로 너무 맛있어요!!!,4점
76,아오스요거트,요거트 좋아합니다 매일 먹고싶습니다 매일 먹고싶다는 것은 매일 먹지 않고 있다는 뜻 입니다.  요거트 맛 자체는 cool하고 sexy하다 생각합니다. 그걸 설명하는 자체가 sexy하지 않기 때문에 이유는 설명하지 않는 것으로 설명이 되었다 생각합니다.,3점
77,아오스요거트,맛은 있는데 요거트 양이 다른 곳에 비해 적고 가격이 비싸요ㅠㅠㅠㅠ,2점
78,아오스요거트,최고예요,5점
79,아오스요거트,최고에요!,5점
80,아오스요거트,이제 방문 안하고싶네요,1점
81,아오스요거트,말해뭐해,5점
82,아오스요거트,"진짜 괜찮습니다. 수분이 거의 빠져서 크림치즈같은 식감이 나는 묵직한 그릭요거트에요! 솔직히 양이 너무 적어보여서 처음에는 실망했는데 먹다보니 의외로 배가 차서 식사로도 대체가 가능한 정도네요. 과일토핑도 신선하니 잘 어우러졌지만, 이 집의 킥은 비스킷입니다. 지금까지 왜 요거트에 비스킷을 넣어먹지 않았나 싶은 생각이 들었어요. 과일의 신선함과 요거트의 부...",5점
83,아오스요거트,진짜 마싯어용ㅎㅎㅎ아침으로 먹고 다녀도 될 만큼 든든하기도 한 듯,5점
84,아오스요거트,곧맛집으로유명해질듯욥,5점
85,비에이치테이블,최고예요,5점
