,0,1,2
0,포비 광화문점,베이글 맛있었어요,4점
1,포비 광화문점,향도 그렇고 베이글이 많이 단단하지 않아서 약간 식빵같은 느낌이 있었어요 무화과 스프레드 발라 먹으니 달달해서 맛있었습니다! 아메리카노는 고소한 원두로 마셨는데 진하지 않고 약간 숭늉 같은 맛... 나쁘지 않았어요   화장실은 가게에서 나와서 오른쪽으로 돌아 다시 건물 내로 들어가면 있습니다,4점
2,포비 광화문점,단골이에요. 근데 포장할때마다 느끼지만 ㅠ 굽자포 얘기 미리 안하면 손님 탓하는 느낌을 매번 받아요 (구워서 잘라서 포장) 주문받을때 직원분이 확인하거나 디폴트로 해주는게 더 상식적이지 않나요? ㅠ,3점
3,포비 광화문점,커피랑 베이글하면 가장 먼저 떠올라요,5점
4,포비 광화문점,분위기도좋고  커피맛있어요,4점
5,포비 광화문점,허니밀크+무화과 조합에 플랫화이트 한잔! 크아~,5점
6,포비 광화문점,여기 스프레드 맛있는지는 모르겠네요. 제 입엔 그냥 달달한 요구르트 맛이에요. 크림치즈 향 전혀 나지 않아요^^; 베이글 자체는 두툼하지만 그만큼 가격도 비싸요. 특색 있는 맛은 아니니 찾아가지 마시고 컬리에서 주문해서 드세요.,2점
7,포비 광화문점,베이글은 쫀쫀하고 크림치즈는 적지만 맛있어요. 여긴 커피도 좋아요. ,5점
8,포비 광화문점,최고예요,5점
9,포비 광화문점,맛나요,5점
10,포비 광화문점,별로예요,1점
11,포비 광화문점,초코라떼가 두유색에 맛도 연해서 조금만 진하게 요청 드렸더니  원래 베이스로 타놓고 따라 주는거라 맛조정이 안된다 하네요^^; 그냥 레시피 자체가 맛이없는걸로..ㅠㅠ  그래도 커피는 맛있었네요ㅎㅎ,2점
12,포비 광화문점,예전보다 달아진 것 같아요. ,3점
13,포비 광화문점,그렇저렇 괜찮아요,3점
14,포비 광화문점,보통이에요,3점
15,포비 광화문점,베이글도 맛있는데 무화과 크림치즈가 찐.... 자리 불편한게 흠 ㅠㅠ,5점
16,포비 광화문점,먹고 맛없다고 하는 사람 있을까 싶은 촉촉한 베이글. 담에 가면 시나몬으로 먹어봐야지,4점
17,포비 광화문점,진짜 위생이 최악입니다. 커피시켰는데 커피 내릴때 가루를 기계에서 뽑는데 이때 가루가 그 동그란통안에 볼록하게 쌓이면 그걸 손으로 쓰윽해서 평평하게합니다. 제가 용어를 잘 몰라서 이렇게 설명합니다만 이해되시길 바랄께요..  코로나 인데 이렇게 비위생적인게 이해가 안가네요.. 이럴꺼면 왜 오픈키친로 한건지 모르겠어요. 더군다나 알바생들 손에 위생장갑도 안끼고...,1점
18,포비 광화문점,베이글 진짜진짜 맛있는 집 ♡,5점
19,포비 광화문점,최애카페. 공간이 협소하고 의자가 불편하긴 하지만 그 마저도 매력있는 곳. ,5점
20,포비 광화문점,not a new york bagel but still pretty good—super soft and pillowy even after toasting and didn’t harden (important for me since i’m a slow eater). it did remind me more of bread than a bagel necessari...,4점
21,포비 광화문점,최악,1점
22,포비 광화문점,좋아요,4점
23,포비 광화문점,쑥 베이글... 이렇게 맛있을 것이라는 생각 못했는데... 그냥 건강한 맛일 듯해서 선택했는데 쫀득한  베이글 식감에 쑥향과 특유의 쑥 단맛... 크림치즈를 일부러 안시켜보았는데 잘 한 듯하다. 쑥맛 좋네~ 에스프레소도 좋구~ 좋네. 포비 디엠지와 다른 분위기지만 둘 다 맘에 든다.,5점
24,포비 광화문점,어우 존맛탱,4점
25,포비 광화문점,가성비 좋음. 어디하나 모난 것은 없음. 맛도 좋음. 재방문 의사 높음. 사람이 많아 소란스러움. 합정 지점 보다 사람은 쾌적함,4점
26,포비 광화문점,좋아요,4점
27,포비 광화문점,점심 먹고 자주 들립니다. 맛있고 친절한 곳.,5점
28,포비 광화문점,보통이에요,3점
29,포비 광화문점,시나몬 베이글에 크랜베리 크림치즈 발라먹으니 정말 맛있어요. 베이글 무슨 맛으로 먹나싶었는데 간만에 맛있는거 먹었네요. 매장에서 먹어서 그런지 따뜻하고 바삭하고 핵맛ㅠㅠ 커피는 산미가 많이 느껴져서 제 입맛엔 별로였어요.,4점
30,포비 광화문점,사람이 많긴한데 베이글은 맛있어요.,4점
31,포비 광화문점,커피는 평범. 베이글맛있습니다,4점
32,포비 광화문점,피꼴로+볼케이노+무화과. 사람이 너무 많긴 함. 직원들 친절함.,5점
33,포비 광화문점,베이글 따뜻하게 먹음 맛 좋음. 커피는 그럭저럭,4점
34,포비 광화문점,베이글맛집 최애입니다!!,5점
35,포비 광화문점,평이 좋길래 갔는데 평범한디용? 대학가에서 파는 베이글이랑 비슷하고 특별한 건 없어용,3점
36,포비 광화문점,"Coffee's not bad and I love that they have piccolo which is hard to find in Korea. But when you order a takeout they double cup the coffee. I mean, it's 2020 - we're switching to paper straws these da...",2점
37,포비 광화문점,조화롭다,4점
38,포비 광화문점,갈때마다 원하는게 없어서 아쉬워여,3점
39,포비 광화문점,베이글 맛있어요! 음료는 평범하고 의자는 좀 불편하네요ㅠ,3점
40,포비 광화문점,최고예요,5점
41,포비 광화문점,"자리는 불편했지만, 베이글은 역시 ^^",5점
42,포비 광화문점,최고예요,5점
43,포비 광화문점,아침일찍 왔는데 다른곳은 다 비어있는게 여기만 바글바글 사람 많은곳엔 이유가 있다.  맛 서비스 둘 다 만족스럽다. 친절하고 싹싹하게 잘하신다.  불만 딱 한가지는 회전율을 높이기 위해서 인지  좌석이 불편하다 정도?   장기간 앉아 계실분은 다른 카페를 찾는게 좋겠다 ,5점
44,포비 광화문점,사람 진짜 많았어요 ㅠㅠ 근데 베이글도 맛있구 커피도 괜찮았어용!! ,4점
45,포비 광화문점,주차도 편하고 좋아요,5점
46,포비 광화문점,예전 그 아메리카노 맛이 아니다,2점
47,포비 광화문점,행복은 멀리 있지 않다 (의자와 테이블이 죠굼 불편. 회전속도를 높이기 위함인 걸까.),4점
48,포비 광화문점,Freshly baked bagels on a daily basis!  Great place to fix your bagel cravings along with a coffee   Love the different kind of cream cheese available in the store too  ♥️,4점
49,포비 광화문점,마이 스팟 중 하나에요 생각하기 딱 좋고 친구들과 담소 나누기에도 좋아요 아마 적절한 테이블 배치와 음악 덕분인 것 같아요 베이글도 참 맛좋지만 저는 티도 참 좋더라구요 :),5점
50,포비 광화문점,좋아요,4점
51,포비 광화문점,틀어주는 재즈 음악이 너무 좋다,4점
52,포비 광화문점,좋아요,4점
53,포비 광화문점,좋아요,4점
