,0,1,2
0,학림다방,꾸준히 가게 됨,3점
1,학림다방,좋아요,4점
2,학림다방,최고예요,5점
3,학림다방,좋아요,4점
4,학림다방,2층이 갑,4점
5,학림다방,비엔나 커피 맛있어요 클래식 나오는 것도 너무너무 좋았어요 딱히 감성을 찾지 않아도 그냥 공간에 배어있는 시간이 소중하게 느껴집니다:),5점
6,학림다방,한번 정도는 가볼만한 카페. 치즈케이크 맛있대서 주문했지만 그냥 평범한 맛. 커피가 더 생각니나네요. 비엔나 시킨것 같은데,4점
7,학림다방,전체적으로 너무 달아요,3점
8,학림다방,"엄청난 특별한 스페셜함까지는 모르겠다. 한번쯤, 혜화라면 갈만하다.",3점
9,학림다방,오래 있어주세요,5점
10,학림다방,평이 좋길래 가봤는데 외관이랑 느낌이 달라요,5점
11,학림다방,탄노이 레드 스피커로 들을 수 있는 클래식 음악과 계단부터 느껴지는 고소한 커피향 ,5점
12,학림다방,좋아해,5점
13,학림다방,예.......전엔 원두 괜찮았는데 이제 슬슬 맛 가는 중. 그래도 굳이 따지자면 시중에 나온 아마추어 카페들보다는 훨씬 나은 편. 그래도 굳이 가진 않겠음.,3점
14,학림다방,어머니 아버지들이 대학생 때 가셨던 그곳을 똑같이 경험할 수 있다는 것 만으로도 별 5개. 한국은 노포에게 우호적인 환경이 절대 아니라 더 각별한 곳이다.,5점
15,학림다방,알바들 놀이터.,3점
16,학림다방,옛 정취와 역사가 가구의 낡음으로 느껴지기는 하는데 그 외에 딱히 특별한게 없었어요. 그래도 1층 내려다볼수있는 2층 자리도 있고 커피도 맛있었습니다. 대학로에서 카페 찾고계시다면 한번쯤 가보셔도 좋을듯!,4점
17,학림다방,기대한만큼 맛있거나 특별하진 않았지만 오래된 인테리어와 학림 특유의 분위기가 좋았다 비엔나커피 맛있지만 그 외 다른 커피는 맛이 없어서 남김,4점
18,학림다방,차가 정말 진하고 맛있다. 찻잔도 어찌나 잘 어울리는지.,4점
19,학림다방,어머니가 대학생이실때 자주 갔던 곳인데 그 감성 그대로에요!! 커피 맛있어요,5점
20,학림다방,분위기가 딱히 좋은 건 아닌 듯함. 소개팅 할 사람은 비추. 친구랑 가볍게 들릴 사람은 추천. ,3점
21,학림다방,좋아요,4점
22,학림다방,비엔나커피랑 라떼 둘다맛있고 분위기도 좋았다. 부모님이랑 같이와도 좋아하실듯 단점은 웨이팅인듯함 저는 눈치게임 성공해서 바로앉아서 별다섯개~~,5점
23,학림다방,보통이에요,3점
24,학림다방,괜찮아요,3점
25,학림다방,기다려서 먹을만큼은.,3점
26,학림다방,부어어어어어어어어어어어어엉 부엉 부엉!,5점
27,학림다방,그 시절로 돌아가서.,5점
28,학림다방,"전 그냥 그래요 ㅋㅋ  비엔나 맛있다곤 하는데 제 기준 달아요. (스벅 휘핑이 훨 좋아요) 드립커피는 기대이하였어요.  겨울에 갔을땐 난방 잘안되서 너무 추웠구, 여름에 가서 앉은 창가자리 테이블 다리가 삐걱 거림 ㅋㅋㅋ ",3점
29,학림다방,좋아요,4점
30,학림다방,불친절함. 오래된 카페에서 느끼고싶은 분위기는 없고 인스타용 손님들만 있으니 시끄럽고 별로예요,1점
31,학림다방,조금 아쉬워요,2점
32,학림다방,분위기는 좋은데...여유로울때면 모를까 웨이팅 할 정도는 아님,2점
33,학림다방,비엔나컾피 존맛탱구리리리리ㅣ리 사람만 없엇음 좋겟음 ㅜㅜ,5점
34,학림다방,굿,5점
35,학림다방,좋아요,4점
36,학림다방,죠와요. 사람이 정말 많은 것 빼곤 다 조아!!!!!,4점
37,학림다방,최고예요,5점
38,학림다방,분위기는 클랙식하고 조용하면서 커피맛도 좋아요,5점
39,학림다방,보통이에요,3점
40,학림다방,너무 좋아하는 학림다방 올드한 분위기에 취하는 곳 비엔나 커피 최고,5점
41,학림다방,비엔나 커피 꼭 드셔보세요!,5점
42,학림다방,좋아요,4점
43,학림다방,보통이에요,3점
44,학림다방,최고예요,5점
45,학림다방,서울미래유산. Since 1956,3점
46,학림다방,80~90년대 분위기에 아담하고 좋네요~ 피크시간대는 웨이팅각오하고가세요^^,5점
47,학림다방,보통이에요,3점
48,학림다방,좋아요,4점
49,학림다방,문학에 대해서 정치와 시대에 대해서 토론했을 수십년전 모습이 상상되는 곳 커피 음악 옛날소파 그리고 옛날식 케이크 너무 좋다 이곳,5점
50,학림다방,좋아요,4점
51,학림다방,진짜오래된,4점
52,학림다방,좋아요,4점
53,학림다방,대학 때 부터,3점
