,0,1,2
0,황홀경,분위기 좋고 직원들도 친절하지만 커피랑 디저트는 좀 아쉬워요 :),3점
1,황홀경,인스타용,2점
2,황홀경,별로,2점
3,황홀경,예쁜 수플레는 좋았지만 역시 가격이 비싸더라고요 내부는 예쁘지만 뭔가 사람들이 많아서 시장통 바글바글 느낌..,3점
4,황홀경,분위기는 좋은데 맛은 쏘쏘 크로플은 암튼 맛있음!,3점
5,황홀경,"밀크티 먹었는데 별로고, 더치베이비는 그냥 팬케이크맛이라 아는 맛...",3점
6,황홀경,"사진으로 봤을 땐 엄청 맛있어 보이는데, 사실 그정도 아닙니다. 분위기 좋아보여서 갔는데, 막상 가보면 엄청 시끄러워서 머리아픕니다.",2점
7,황홀경,그럭저럭,3점
8,황홀경,분위기 좋고 디저트류는 맛있지만 음료는 글쎄.. 만석시 2시간 제한이 있었는데 디저트류가 나오는데 한세월 걸림 지금은 어떠려나,2점
9,황홀경,카페 분위기도 너무 좋고 아인슈페너랑 크로플 너무 맛있었어요><,5점
10,황홀경,디저트도 맛있고 분위기도 너무 좋았어용 특히 알바생분들 정말 친절하세요!! 데이트하기 좋아여~~*,5점
11,황홀경,ㅋㅋㅋ여기 정말 디저트랑 음료 최악 이렇게 맛이 없고 딱딱하고 느끼할 일이냐 대학친구들 간만에 모임했는데 친구들 다 음료 80프로 이상 남기고...ㅠㅠ 디저트는 진짜... 이런 실력으로 장사할 생각을 하다니.. 역시 인테리어로 먹고사는 요즘 인서타 맛집,1점
12,황홀경,무난함 인테리어가 이쁨 ,3점
13,황홀경,"분위기 좋고 테이블 넓직 화장실 깨끗 블랙라떼인가 그건 좀 이상한 맛이었고, 딸기우유는 맛있음 아메리카노는 보통",4점
14,황홀경,"데이트 하기 좋은 장소에요 분위기 좋고, 아인슈페너 자꾸 생각나서 또 갈거에요,,ㅎㅎ",4점
15,황홀경, 커피맛있고 분위기최고 사진맛집이에요 다음에 또갈께요,5점
16,황홀경,커피와 디저트 맛잇ㅇㅓ요,4점
17,황홀경,여자친구가 맘에 들어해서 좋았어요!,4점
18,황홀경,직원들도 다들 친절하고 분위기도 좋고~~~ 데이트하기 좋은 곳이네요~ 맛도 굿,5점
