,0,1,2
0,블루보틀 성수,* 아 취한드아 놀라 마티니 마시따 가격보고 두번 놀라,5점
1,블루보틀 성수,스벅보단 블루보틀이 좋아서 매장 더 늘어났으면. 사람 넘 몰린다..,3점
2,블루보틀 성수,무난합니다. ,3점
3,블루보틀 성수,아메리카노보다는 카페라테를 추천,4점
4,블루보틀 성수,스벅 갈게,2점
5,블루보틀 성수,최고예요,5점
6,블루보틀 성수,보통이에요,3점
7,블루보틀 성수,커피맛 산도있고 다양한맛이 나요  묘해요 아이스 드립 맛있었어요 가까우면 애정하는곳이 됬을듯,3점
8,블루보틀 성수,기대없이 갔는데 뉴올리언스 맛났어요.  자리는 불편했지만 가격만 아니면 괜춘할듯. ,3점
9,블루보틀 성수,인스타용 맛은 별로,3점
10,블루보틀 성수,괜찮아요. 맛있어요.,4점
11,블루보틀 성수,직원분들 너무너무너무 친절해요 서비스 교육은 진짜 최고이신듯 합니다,4점
12,블루보틀 성수,맛만 따진다면.,5점
13,블루보틀 성수,보통이에요,3점
14,블루보틀 성수,정신없고 음료 맛도 없음.,2점
15,블루보틀 성수,잘 모르겠음 세련된 분위기는 좋음,2점
16,블루보틀 성수,조금 아쉬워요,2점
17,블루보틀 성수,메뉴는 잘 골라야할듯 저는 추천받아 맛있게 마셨습니당,4점
18,블루보틀 성수,미국 블루보틀이랑 맛 비슷하고 맛있어요.  건축물이 감각적이고 멋있습니다!,5점
19,블루보틀 성수,주위 다른 카페들에 비해 가격이나 맛이나 그닥...,2점
20,블루보틀 성수,보통이에요,3점
21,블루보틀 성수,친구따라 가보긴했는데 그냥저냥 평범했어요 파란 물병 모양의 로고가 시그니처인듯 사람들이 많이 찍어가더라구요,3점
22,블루보틀 성수,지나가다가 가봤는데 괜찮음..ㅎ,4점
23,블루보틀 성수,"한 번. 가볼만함 두번은 안감,,7000원대 라떼 수준은 아닌듯",3점
24,블루보틀 성수,맛 생각보다 기대이하. 사람 많음,3점
25,블루보틀 성수,"전 커피맛은 만족이요. 시그니쳐 라테, 아메리카노 둘다 괜찮더라구요. 또 생각나는 맛이긴 합니다. 매장에 자리도 그정도면 괜찮구요. 사람이 가득하니 말소리가 심하게 울리긴 합니다",5점
26,블루보틀 성수,최고예요,5점
27,블루보틀 성수,조금 아쉬워요,2점
28,블루보틀 성수,주말에 갔는데 웨이팅도 없었고 산미좋아해서 산미강해서 좋았어요~ 베이커리 가격이 좀 사악ㅠ ,4점
29,블루보틀 성수,너무 기대하고 가서 그런지 생각보다 맛있진 않았어요,3점
30,블루보틀 성수,제 입맛에는 안맞았나봐요.. 커피 산미 너무 쎄요,2점
31,블루보틀 성수,점심때 갔는데 엄청 사람 많아서 오래 기다렸어요 대신 그만큼 맛이 좋아서 기다린 보람이 있어요,5점
32,블루보틀 성수,"샌프란시스코 그 맛있던 블루보틀,특히 케이블카 종점 근처(피어쪽은 별로), 생각하고 마셨다가 아이스라떼 던져 버릴뻔 이건 정말 위해서 하는 말인데요 커피는 같을텐데 맛이 없다는건 1.바리스타  2.머신 둘중 하나입니다",1점
33,블루보틀 성수,그냥저냥,2점
34,블루보틀 성수,킹시국에도 사람 많은데 놀라플롯보다 폴바셋 라떼가 나음 유자 피즈도 맛없음  후 자리 없어서 나와서 밖에 공원벤치에서 먹어야됨,2점
35,블루보틀 성수,비싸고 양적고 밍밍함  왜 인기많은지 몰겠네,2점
36,블루보틀 성수,누구인가 누가 라떼 맛집 소리를 내었어,1점
37,블루보틀 성수,흐음,2점
38,블루보틀 성수,맛있긴 한데요... 굳이 기다려서 먹을 맛은 아녜요..,3점
39,블루보틀 성수,아직도 사람이 이렇게 많을줄이야 매장은 지하인데 계단이랑 1층까지 줄입니다 당연히 자리 잡는거 거의 불가능해보이구요 일주일치 운을 몰빵해야 앉을수 있습니다 눈치게임 장난 아니에요 다들 서서 서성서성 • 뉴올리언스 마셨는데 너무 맛없어서 놀랄정도 이게 무슨 맛이지..?  그냥 평범한 라떼정도도 아닙니다 맹맹하고 이맛도 저맛도 아닌.. 맛은 너무 실망했습니다 ...,1점
40,블루보틀 성수,굳이 ...한국에 커피 맛있는 곳 널렸어요 거기에 영어간판 유자를 일본식발음으로....인터뷰에서도 느꼈지만 사장이 엄청난 친일...,1점
41,블루보틀 성수,깔끔하다아 ,3점
42,블루보틀 성수,의외로 롱블랙이 맛있었다,3점
43,블루보틀 성수,여길 왜 줄까지 서가면서 먹냐 음료 나오면 주섬주섬 영수증 챙겨가야 하고(영수증 안 갖고 오면 돌려보냄) 쟁반도 안 줘서 커피잔에 디저트접시에 뭐에 손 모자라면 옆구리에 잔 끼고 와야 하고 (미국식이라면서 절대로 쟁반 안 줌) 일행이 뒤늦게 오기라도 하면 출입 함부로 할 수 없어서 반드시 밖으로 나가서 일행이라는 걸 인증하고 데리고 와야 하는 곳인데;;;,1점
44,블루보틀 성수,보통이에요,3점
45,블루보틀 성수,기대를 많이했나? 별로다;;;,1점
46,블루보틀 성수,커피도 맛있고 좋아요,5점
47,블루보틀 성수,"성수동 건물은 외관이 이렇다할 특색이 없음. 엄청나게 울리는 잡음들.  쟁반을 안주는 예의. 일하는 직원들도 공감할 것. 음료, 베이커리, 커피 모든 메뉴들의 맛들이 내는 돈의 가치를 능가하지 못함.  메뉴얼대로 훈련된 친절함. 브랜치 확장은 일본에서 끝냈어야하지 않았을까.",1점
48,블루보틀 성수,○○○ 별로임,1점
49,블루보틀 성수,보통이에요,3점
50,블루보틀 성수,"블루보틀 역삼보다 넓은데 인테리어나 조명이 훨씬 떨어짐 의자도 너무 없고,, 줄서서 먹어서 더 정신없음 커피맛은 비슷하나 아이스크림 너무적게주고 지점마다 차이가 있는듯",4점
51,블루보틀 성수,아침에 일찍 여는 편이어서 주말 아침시간 보내기 좋은데 사람많으면 소리가 울리는 구조여서 굳이 싶어요. 이젠 커피맛도 이 정도는 많으니까요. 그렇지만 일관된 인테리어와 엠디상품 등 블루보틀만의 맛은 있습니다.,3점
52,블루보틀 성수,줄서고 자리 기다리고 마시기엔 커피맛이 너무 기대이하,2점
53,블루보틀 성수,왜 가는지,2점
54,블루보틀 성수,보통이에요,3점
55,블루보틀 성수,핫플답게 자리가 없을 정도로 사람에 많았는데 외관이랑 달리 건물 내부에 생각보다 테이블이 많이 없었음. 최악이였던건 기다려야하길래 직원분께 따로 웨이팅 명단같은거 없냐니까 없다고 자리는 알아서 찾아야한다고 함; 그러면 나보다 늦게 온 사람이 먼저 자리에 앉아버리면 기다린 사람 입장은 뭐가 되는건지? 블루보틀은 처음이라 기대했는데 이상한 시스템에 실망만 하고...,1점
56,블루보틀 성수,굿굿굿,5점
