,0,1,2
0,땡스오트 연남점,평일 낮에 가도 웨이팅이 있습니다 그치만 제가 먹어본 요거트 중 제일 맛있어요,4점
1,땡스오트 연남점,보통이에요. 보통!,3점
2,땡스오트 연남점,처음 갔는데 너무 맛있었어요. 근데 직원분들이 조금 더 친절하면 좋겠네요.,4점
3,땡스오트 연남점,요거트 진짜 맛있어요!!! 건강한 느낌 가득하구 베이글 샌드위치도 너무너무 맛있었어용!,5점
4,땡스오트 연남점,"18년도에 먹었던 스콘의 맛을 못잊고 지금도 비슷한 곳을 찾는중.. 정말 많은 스콘을 먹었는데 다들 다른 맛으로 맛있으나 땡스오트의 스콘 만큼은ㅠ 이즈니, 엘르앤비르 버터를 넣고 만들어도 그맛이 아님 시오코나스콘을 만들어도 뭔가 부족함. 다시 판매예정이 없다면 레시피라도 알고싶음...",5점
5,땡스오트 연남점,"그릭요거트만 따로 포장하러 재방문 250그람에 8천원으로 다른 곳 보다 저렴해서 좋다  =이전 리뷰  가게에서 직접 만든 꾸덕꾸덕한 그릭요거트에 원하는 과일, 그래놀라 토핑을 올려 먹을 수 있다. 과일 종류는 계절 마다 조금씩 바뀌는 듯. 기본적으로 가격이 7~7.5라 저렴하진 않은데 요거트매니아라면 가볼만하다. 사람이 항상 많아서 대기는 거의 필수. 맛도...",5점
6,땡스오트 연남점,보통이에요,3점
7,땡스오트 연남점,맛은 있는데 가격이...,3점
8,땡스오트 연남점,가게는 예쁘지만 매우좁고 제일충격이었던건 요거트양이었다.......7500원에 세네숟갈정도의 요거트 아무리 연남동물가라지만 좀 너무하지않나싶다,2점
9,땡스오트 연남점,"맛은 있는데 직원분들이 좀 많이 예민하고 친절하진 않아요,,, 안 되는 거 엄청 많아요,, ^^ 근데 연예인이 가면 포장지에 000님 팬이에요~ 너무 예쁘세요~ 적어 놓고 그러시길래 살짝 더 가기 싫어진,,,, 그래서 가아아끔 땡길 때만 갑니다",2점
10,땡스오트 연남점,맛있으나 가게 내부 불편 매우 좁음 사람 많음,4점
11,땡스오트 연남점,디자인도 좋고 맛도 좋은데 가격이 좀비싼게  아쉬워여 ㅠㅜㅠㅜ,4점
12,땡스오트 연남점,"저는 왜 인터넷으로 주문해먹는 그릭요거트가 더 맛있을까요ㅠㅠ 그래놀라도 평범하게 느껴졌습니다.. 꿀을 뿌려줘서 요거트,그래놀라,과일과는 잘 어울렸습니다. 가기 전부터 샌드위치에 대한 기대가 커서 그런지, 내용물이 생각보다 알차지 않아 아쉬웠어요. 베이글이 특히 너무 평범했네요...ㅎㅎ",2점
13,땡스오트 연남점,맛있음 요거트 생각날때 오는집 특히 이집은 연어샌드위치가 최고 단점은 가격이 비싸고 웨이팅이 있는데 좌석이 협소해서 오래걸리는것 ? 그리고 의자랑 식탁이랑 높이가 안맞아서 허리가 아프다 ,4점
14,땡스오트 연남점,두명이서 1메뉴+1포장은 안되고...무조건 매장에서 2개 먹으라하고...자리배정도 먼저온사람은 바깥쪽 웨이팅석에 앉히고 뒤에오는 사람은 안쪽에 4인석에 앉혀주고 무슨 서비스가 이런식인지 모르겠네요. 주문해놓고 이게무슨경운가 싶어서 그냥 나가고 싶었습니다. 직원 말투가 친절한척 조곤조곤 말하는데 들어보면 다~ 안된다는말이고.. 비오는날 찾아왔는데 비싼돈주고 ...,1점
15,땡스오트 연남점,웨이팅이 길어서 많이 기다렸지만 ㅜㅜ  기다린만큼 만족 과일도 싱싱하고 그릭요거트도 맛있고 오트밀도 괜찮 오렌지쥬스는 착즙하신건지 엄청 상큼하고 맛있었어요  또 방문할게요~~,5점
16,땡스오트 연남점,맛은 괜찮은데 서비스가 별로. 가격도 비쌈. 메뉴 조합 불가능 하고 다른 재료로 대체 불가능하고 빼는 것만 가능하다는 점도 아주 별로임. 고객을 배려하는 느낌이 없음. 전체적인 태도가 알아서 맞추라는 느낌. 평일에 가도 웨이팅이 깁니다. 굳이 이런 서비스 받으면서 먼 곳에 올 곳은 아닌 것 같고 인근 주민이라면 식사 시간 피해서 오전쯤 올 만은 합니다. 요...,1점
17,땡스오트 연남점,매장에서는 안먹어봐서 모르겠으나 공간이 매우 협소 하긴 합니다. 전 그냥 그래놀라랑 요거트 사서 집에서 자주 먹어요! 요거트는 완전 꾸덕해요! 하나도 안달아서 오히려 이것저것 섞어먹기 좋습니다! 가격이 조금 양에 비해 비싸다는 생각이 들지만 자주 와서 사게 되네요,4점
18,땡스오트 연남점,맛있으면 뭐하나 응대가 별로인데; 맛보다 손님들 대하는게 좀 그런 가게임,1점
19,땡스오트 연남점,맛도 분위기도 너무너무 좋아요 공간이 협소해서 주말에가면 웨이팅은 기본일거같아요ㅠㅠㅠㅠㅠ,4점
20,땡스오트 연남점,"웨이팅 30분넘게 했는데  그렇게 웨이팅할 정도인지는 모르겠음.. 요거트 볼은 진짜 너무 흔한 요거트볼이었고, 크기도 너무 작았음 아보카도 토마토는 맛있는데, 체리 블루베리는 솔직히 별로..  자리도 야외 3테이블 빼고는 진짜 별로였음..(야외는 진짜 진짜 이쁘긴함) 카운터 앞에 앉았는데.. 거긴 진짜 별로 .. ㅠㅠㅠ ",3점
21,땡스오트 연남점,강아지와 함께 먹을수있다,4점
22,땡스오트 연남점,"아보카도 햄치즈 샌드위치와 아보카도 연어 샌드위치, 체리 베리즈 요거트볼 다 맛있다. 브런치로 요거트볼2 샌드위치1이 괜찮을 것 같은데 저녁엔 샌드위치2 요거트볼1도 좀 배고픈 조합이다.",5점
23,땡스오트 연남점,(주의) 사진이 실물보다 커보일 수 있습니다,3점
24,땡스오트 연남점,맛있어요. 양이 너무 작아요ㅜㅜ ,4점
25,땡스오트 연남점,요거트 맛있어요,5점
26,땡스오트 연남점,요거트가 좀 단단한? 느끼한 맛. ,1점
27,땡스오트 연남점,좋아요,4점
28,땡스오트 연남점,좋아요,4점
29,땡스오트 연남점,공간이 좀 협소해서 웨이팅이 있었고 직원 한 분이 너무 바쁘신지 자리가 여러 개 난 후에도 한참 있다가 부르셨어요  요거트는 꾸덕한데 상큼한 맛이 생각보다 덜했습니다,3점
30,땡스오트 연남점,여기 참 좋아요,3점
31,땡스오트 연남점,약간 비싸긴하지만 맛있고 가게가 귀엽고 이쁨 스무디볼도 같이팔면 좋을듯,5점
32,땡스오트 연남점,최고예요,5점
33,땡스오트 연남점,하루종일 붙어있고 싶은 공간. 음악이 너무 좋아 한참 앉아 있었다. 요거트는 맛있으나 비싸다고 생각함.,4점
34,땡스오트 연남점,무난한맛 가득한 정성 따뜻한 감성,4점
35,땡스오트 연남점,진짜 너무 좋아요 여기!,5점
36,땡스오트 연남점,사랑하는곳 222,5점
37,땡스오트 연남점,연남동 끝자락에서 만난 귀여운 곳,5점
38,땡스오트 연남점,내가 제일 좋아하는 곳,5점
39,땡스오트 연남점,대박맛집입니다 강추강추!,5점
40,땡스오트 연남점,"맛있고, 깨끗하고, 정성 가득 따뜻한 집. 가격도 부담 없음.",5점
41,땡스오트 연남점,샌드위치도 너무맛있은 맛집이예요,5점
42,땡스오트 연남점,언제가도 즐거운 기분으로 나올 수 있는 맛집! 작지만 정겨운 분위기가 있고 무엇보다 맛있어요 추천추천해요!,5점
43,땡스오트 연남점,여기 사장님 수익금으로 유기견 봉사도 하시고 그러세요..맛도 괜찮고 가격도 너무 비싼수준도 아니고 무엇보다 댕댕이 산책가면서 자주 들르려구요~무화과도 너무맛잇음 ㅠㅠ,5점
44,땡스오트 연남점,강아지를 위한 요거트가 있는 곳. 맛도 최고,5점
45,딩가케이크,좀 인공향료 먹는 맛이 난다. 대기업 프랜차이즈 케이크보다도 아쉬움ㅠ 케이크 모양새와 가게는 엄청 예쁘다.,2점
46,딩가케이크,너무 달고 커피 맛없,2점
47,딩가케이크,이런건 좀 너무한 거 같음,1점
48,딩가케이크,케이크 비주얼이 특이해서 그런지 가격은 쎕니다. 맛은 그냥 일반 케이크와 다를바 없음  인테리어가 이쁘고 오후엔 사람 엄청 많아지네요.,5점
49,딩가케이크,저한텐 친절하셨어요..남은것도 추가비용안받고 다포장해주셨구요 케익은 초코시트류는 맛있어요! ,5점
50,딩가케이크,인스타 업로드용... 저는 그렇게 맛있진 않았네요 인스타도 하지 않아서.. ㅜ,3점
51,딩가케이크,좋아요,4점
52,딩가케이크,진심 맛없어요.... 저 믿고 가지 마셈,1점
53,딩가케이크,가게인테리어는 정말이쁘나 케잌맛이 너무별로에오 케익시트가 푸석푸석.. 가격도 맛에 비해 비싸규..인스타충들은 조아할스퇄ㅋㅋㅋㅋㅋ,1점
54,딩가케이크,옛날 미국풍 인테리어와 그시대 디자인의 케이크는 좋지만 테이블 간격이 좁고 테이블이 낮아 불편. 음료가 싸진 않아요.,3점
55,딩가케이크,다른 건 둘째치고라도 케익이 먹는 용도 보다는 인테리어 소품 역할로 두는게 제일 어울림.,1점
56,딩가케이크,직원이 매우 불친절해요,1점
57,딩가케이크,연남동으로 이전하기 전부터 포장해서 사먹곤 했는데... 케이크는 원래 좋아하는 스타일이라 제 입맛에 맞았지만 커피는... 정말 많은 개선이 필요해보여요. 일단 연남동일대가 커피와 케이크 가격대가 높은 편이라는 걸 감안해도 어느정도 수준의 맛은 확보되어야 한다고 봅니다. 매장은 안팎으로 사진찍기 예쁘지만 관리가 잘 되지않아 먼지가 보이고 지저분한 느낌이 좀 ...,3점
58,딩가케이크,케이크 디자인으로 반은 먹고 들어가는 곳. 테이블이 다닥다닥 붙어있어서 장소가 좋지는 않다. 사진용 디저트로 제격인 정도?,3점
59,딩가케이크,음료맛 나쁘지 않았어요~ ㅎㅎ,3점
60,딩가케이크,별로예요,1점
61,딩가케이크,조금 아쉬워요,2점
62,딩가케이크,얼그레이 케이크 나름 괜찮았음 근데 뭐랄가 3분의 1은 남기게 되는 그런 맛 그냥 인스타용 카페  의자랑 테이블 너무 불편해서 얼마 안있다가 나옴,2점
63,딩가케이크,최고....! 사진 프린팅 케이크 주문 했는데 선물 받는 친구가 엄청 좋아했어요 그리고 맛은 솔직히 기대 안했는데! 전 초코 가나슈 케익으로 주문 했는데 꾸덕꾸덕한 스타일 좋아하시는 분들께 강추 입니다 ㅠㅠ 다음에 다른 친구 선물 할 일 있으면 또 방문 할 꺼에요!,5점
64,딩가케이크,인스타용 카페. 한번쯤은 가볼만한! 또 가지는 않음,2점
65,딩가케이크,"정말 딱 인스타용.. 예쁜 인테리어, 귀여운 케이크 원하시는 분들은 좋아하실것 같네요. 케이크는 맛 없어요. 엄청 말라비틀어진...맛.....",3점
66,딩가케이크,포장 케익 상자에 손잡이가 없고 프레임이 너무 약해 포장상자가 무너져서 들고 가다가  다 부서졌네요.... 기분좋은날 기분 망친 하루네요,1점
67,딩가케이크,매장에서 먹지는 않았는데 예약한 케이크를 픽업하는 동안에 잠깐 대화나눈 직원들이 친절 불친절을 떠나 손님한테 관심이 전혀 없다는 느낌을 받았습니다 인사는 둘째치고 카운터 앞에 서서 본인들을 쳐다보면 주문을 하거나 뭔가 할 것이 있다는 의미 아닌가요 서로 멀뚱멀뚱 쳐다보다가 제가 먼저 케이크를 이야기 하니 자기들끼리 또 멀뚱멀뚱 쳐다만 보고 제가 들어가서 가...,3점
68,딩가케이크,생일 때 먹었는데 달달하구 맛있었어요,5점
69,딩가케이크,내가 사랑하는 분위기  ㅜ ,5점
70,딩가케이크,비싸고 맛없고 왜 가는지 이유 모르겠음 불친절하고..  다신안갈듯 ,1점
71,딩가케이크,주말엔 사람이 정말 많고 감성은 톡톡히 함 갬성료가 좀 나감ㅠ,3점
72,딩가케이크,보기에만 이쁘구 맛은 기대하지 마시길ㅠㅠ,3점
73,딩가케이크,레트로한느낌을 주는곳 감성적인 측면은 개인적이라 평가를 못하겠고   생각보다 맛은 별로 인듯합니다. 좌석이 매우 풀편,2점
74,딩가케이크,케익 ㄹㅇ 노맛 맛 별로라고 익히 소문들어 알고있었지만.. 초코케익 시켜먹었는데 차라리 파바에서 사먹는게 나을고같음 빵은 퍽퍽하고 초코도 별로고.. 겉 크림도 맛없고.. 그냥 감성값 하지만 테이블도 개불편 빨리 먹고 나가라는 구조임,2점
75,딩가케이크,전형적인 갬성형 카페. 케익은 달기만하다,2점
76,딩가케이크,케이크 귀여워요.. 맛은 예상할수 있는맛~~,4점
77,딩가케이크,괜찮았어요 커피가 연해요,3점
78,딩가케이크,딸기쉐이크 초코쉐이크는 아이스크림 “셀렉션” 녹여서 파는것같아요 딱그맛임.. 케이크는 진짜 ○○○○○같은맛; 그냥 사람들이 인테리어보고 계속가는듯.. 재방문의사 절대없음 ,1점
79,딩가케이크,최고예요,5점
80,딩가케이크,사진찍기 만 좋음,1점
81,딩가케이크,케익이 생각보다 덜달음 근데 넘 비쌈,3점
82,딩가케이크,사장님 너무 불친절해요 뭔가 불편해보임 그리고 맛이없다.. 예쁘기만함,1점
83,딩가케이크,"커피 케이크 다 엄청 맛없어요 ㅠ 케이크는 진짜 달기만 한 맛... 그리고 불친절. 테이블 가지고 고나리 엄청 해요. 일행이랑 놓여있던 대로 앉았는데, 아마 전 손님이 붙여놓으신 테이블이었나봐요. 미니테이블 두 개에 세 사람이 앉았고 옆에 빈 자리도 여러 테이블 있었는데... 이렇게 하면 안된다고 정색하고 뭐라 하셨어요. 쟁반만한 테이블에 셋이 옹기종기 앉...",1점
