,0,1,2
0,카페1953위드오드리,오드리 컨셉의 분위기 좋은 카페. 자리도 넓어 쾌적하다 ,4점
1,카페1953위드오드리,널찍하고 쾌적합니다 가격도 매우 합리적이에욤  ,5점
2,카페1953위드오드리,분위기 너무 좋아요 > <,4점
3,카페1953위드오드리,분위기 괜춘... 커피 괜춘 근데 케잌이 사온거같은데 음 쓰레기..,1점
4,카페1953위드오드리,맛은 보통임 분위기는 좋았음 근데 또 가지는 않을 것 같음,3점
5,카페1953위드오드리,최고예요,5점
6,카페1953위드오드리,분위기 좋고 사진찍기 좋고 맛도 있고~ 친구랑 즐겁게 먹고 왔어요 ,4점
7,카페1953위드오드리,인테리어 잘되어 있습니다. ,5점
8,카페1953위드오드리,오드리 햅번 관련 유품이 다양하게 전시된 카페입니다. 소유주가 크리스티 같은 외국 경매시장에서 직접 수집한 물품들이 다채롭게 쇼케이스를 채우고 있습니다. 갤러리와 카페가 혼합된 문화공간입니다. 개인적으로 커피 맛은 그다지 높은 점수를 주기 어렵네요. ,3점
9,카페1953위드오드리,빈티지하면서도 세련된 느낌이 좋은곳.,4점
10,카페1953위드오드리,환기인돼서 공기너무 안좋고 먼저 너무 많고 목 아파요,1점
11,카페1953위드오드리,커피맛 괜찮고 프런치 메뉴 다양하고 메뉴구성 좋아요,4점
12,카페1953위드오드리,"볼거리 있고, 브런치 먹기 좋은 카페, 주차 공간 좁은게 아쉬움",5점
13,카페1953위드오드리,공간 넓고 시원함. 오드리 초코 케익 너무 작음.,4점
14,카페1953위드오드리,"얼그레이케익, 스콘, 라떼, 아메리카노(라이트) 전부 맛있음. 폐공장감성",5점
15,카페1953위드오드리,커피맛bb,5점
16,카페1953위드오드리,일하시는분들이 친절하세요. 특히 안경쓰신 여자분 덕분에 기분좋았습니다. :) ,4점
17,카페1953위드오드리,"+로사케이크, 클래식밀크티 케이크가 맛남. 밀크티는 좀 달다.",4점
18,카페1953위드오드리,"소품, 커피  모두good!",4점
19,카페1953위드오드리,"인테리어도 좋고 소품들도 예뻤어요. 커피랑 밀크티도 흠잡을 데가 없었습니다. 하지만 궁금증이 남는 건 왜 얼그레이 타르트에서 초콜릿 맛밖에 나지 않는가와, (남자) 종업원이 왜 소변을 본 후, 그리고 쓰레기봉투를 만진 후 손을 씻지 않느냐는 점이네요.",2점
20,카페1953위드오드리,원두를 다크로스팅 과 라이트로스팅 둘중에 하나를 선택할 수있습니다. 개인적으로 라이트 로스팅은 신맛이강해 좋은 커피라는 인상은 받았지만. 다음번에는 우리에게 익숙한 맛인 다크로스팅을 먹어 봐야겠습니다. 집 주변에 컨셉팅 카페가 있다는것 만으로도 꽤나 만족스럽네요 ,4점
21,카페1953위드오드리,분위기가 좋은데 비해 가격이 착하네오,5점
22,카페1953위드오드리,창작촌에 혼모노가 둘 있는데 하나는 건담덕후 사이드3 사장이고 나머지 하나는 위드오드리 사장임,4점
23,카페1953위드오드리,보통이에요,3점
24,카페1953위드오드리,저는 여기 식사와 카페를 한번에 해결할 수 있고 맛도 좋아서 좋았어요!! 브런치카페로 짱! 빠네파스타랑 라자냐 맛도 굿굿! 플랫화이트랑 아인슈페너 먹어봤는데 아인슈페너 보단 플랫화이트가 더 좋았어요! 다음엔 커피 이외의걸 마셔봐야겠어요. 신도림역 근처에 이런 인테리어의 카페가 있다는것 자체가 뷰 평점 5점만점인데 생각보다 별점이 적네요. 10점만점인데,5점
25,카페1953위드오드리,최고입니다,5점
26,카페1953위드오드리,사장님이 오드리 덕후인지 오드리 관련 아이템들이 전시되어 있는데 규모가 생각보다 상당합니다. (실제 오드리가 착용했던 의류도 있던걸로 기억합니다.)  하지만 디저트 맛이나 커피맛은 평범..보다 약간 못해서 아쉬운 카페네요.,3점
27,카페1953위드오드리,차이코코넛 밀크티 시켰는데 너무 약하고 아인슈패너 시켰는데 크림이 너무 묽고 (그나마 처음엔 플랫화이트로 잘못 나왔...) 오드리 초코케잌?도 시켰는데 별로였어요 ㅠㅜ 카페쪽 스탶분 응대도 너무 그렇고... 카페는 엄청 귀여워요 음식은 맛있을지도 모르니 한번 더 기회 되면 와보려구요,2점
28,카페1953위드오드리,좋아요,4점
29,카페1953위드오드리,여기가 카페?의심드는 입구지만 안은 좋음! 하지만 사람넘많음,3점
30,카페1953위드오드리,오드리 햅번 덕후 아니면 그닥..,3점
31,카페1953위드오드리,가게도 너무 유니크하고 이쁘고 가격도 터무니 없지도 않고 커피도 무난하고 재방문의사 있어요!,5점
32,카페1953위드오드리,공장 사이에 숨어있는 1953감성 그대로 유지한 다이닝카페,5점
33,카페1953위드오드리,신도림 사는데 가깝게 갈수있어 좋았어요,5점
34,카페1953위드오드리,공장들 사이에 이런곳이 ㅎ 밖에 풍경과 엄청 대조적 주차는 불편,4점
35,카페1953위드오드리,"마음담아 만든 카페, “카페1953위드오드리”  훈남 사장님의 다양한 모습의 오드리 피규어 보는 재미도 있구, 공장같은 외관에 미술관같이 꾸며둔 내부도 좋구, 화장실도 넘 깔끔해요.   가장 좋은건 밀가루가 전혀 들어가지 않은 오드리의 레시피를 재현한 초코케익!! 브라우니도 아닌것이 흔한 초코케잌 맛도 아니고 달지않으면서 달달한 그 맛... 자꾸 생각나요~",5점
36,호텔707,사진직기좋은 장소예요~맛조좋구,5점
37,호텔707,보통이에요,3점
38,호텔707,분위기가 특이할 것 같아서 갔는데 오... 생각보다 별로였음 음식도 너무 성의없어서 놀랐던 곳,2점
39,호텔707,평일 낮 사람 없을땐 좋았다. 음료는 비싸고 맛은 그닥,3점
40,호텔707,얼그레이구름타르트 리얼딸기밀크 리얼망고밀크를 먹었는데 가격은 비싸지만 너무 맛도 없고 퀄도 별로.. 얼그레이구름타르트 크림은 편의점크림빵에서 쓰는 크림맛과 향이 나고 리얼딸기망고밀크는 냉동딸기 냉동망고의 향이 너무 강하고 비릿한 우유향,1점
41,호텔707,인테리어 컨셉이 정신 없고 그리고 깨끗한 느낌은 없네요~,1점
42,호텔707,좀 시끄러운거 빼고는 괜찮았어요,4점
43,호텔707,두번째 방문인데 낮이나 밤이나 분위기 최고 ㅠ ,5점
44,호텔707,분위기 완전 좋아요! 갬성사진 찍기 좋은듯! 음료도 맛있었어요!,4점
45,호텔707,힙해요 힙하고 힙해요 그런데 정신없고 좀 시끄러워요 소리가 커서 그런가..,2점
46,호텔707,"인테리어 컨셉과 분위기는 좋지만, 방문자 인구밀도가 높아 코로나19 시대에는 주의가 요구됩니다. 문래동에서 힙한 사이트 가운데 한 곳입니다. ",3점
47,호텔707,맛도좋고 분위기도 좋아요 침대에서 한숨자고가세요!!,5점
48,호텔707,정말 맛있었습니다!!  다만 빙수 주문하고 35분만에 메뉴가 나와서 아쉽습니다ㅠ,4점
49,호텔707,조금 번잡하긴 한데 디저트가 맛있고 직원분들 친절하시고 식기가 참 예뻐용,4점
50,호텔707,음악소리가 너무 큼,1점
51,호텔707,인테리어는 좋은데... 그만큼 깔끔하게 관리가 되어야지... 닦아달라 해야됨...,2점
52,호텔707,문래가 서울 다른 핫플에 비해 욕을 먹는다면 어느정도 지분이 있지 않을까 싶어요. 커피는  평균이하에요,2점
53,호텔707,분위기가 특이해요..! 청소가 잘 안되어 있어요 음료맛도 평범해요,3점
54,호텔707,인테리어 감성집 맛은 그럭저럭,3점
55,호텔707,기대를 많이했는데 분위기만 좋고 음식들 맛이 너무 별로였다,3점
56,호텔707,최고예요,5점
57,호텔707,신분증 없어서 와인 못마심ㅠ,4점
58,호텔707,카페메뉴부터 바(bar)메뉴까지 다양한 메뉴를 제공한다.입장시 제공되는 카드의 QR코드로 매뉴를 볼 수 있고 인테리어에 굉장히 신경을 많이 쓴 것 같았다.화장실 자개장 문은 정말 독특했음.매장은 1층과 2층 그리고 2층 위에 루프탑으로 되어있고 루프탑은 VIP전용으로 일정금액을 이용해야하고 예약제로 운영하고 있었다. 2층 자체가 아예 야외석이라 여름에는 1...,3점
59,호텔707,인테리어 이쁘고 괜찮아요 주말엔 웨이팅도 있고 잘되는 가게인건 맞는데 직원분들 조금만 더 친절했으면 좋겠어요,4점
60,호텔707,내부 인테리어 완전 좋은데...맛은 좀 그저그래서 아쉬워요....,3점
61,호텔707,"맛은 별로, 신선한 인테리어가 돋보입니다",2점
62,호텔707,내부인테리어는 볼만함,4점
63,호텔707,추운 겨울에 갔다 테라스엔 사람이 거의 없었고 다른 층도 사람들고 꽉차있었다 맛의 임펙트는 딱히 없지만 분위기가 맘에 듦 근데 좀 시끄러움,4점
64,호텔707,생각보다 보통! 실내자리가 인기가 많더군요 실외는 웨이팅없음 덥다는데 그늘있어서 ㄱㅊ 근데 그정돈가? 실내는 온갖걸짬뽕해서 난좀촌스러웠는데 그게 요즘 사람들 취향인가봄,3점
65,호텔707,보통이에요,3점
66,호텔707,재미난 발상이 재미있는 카페. 하지만 맛은..? 그냥 저럭이요.,3점
67,호텔707,인생샷찍기 여기만한데없음 너무예쁘구 잘나와요! 커피도맛있고:),5점
68,호텔707,힙해 힙한데 난리임 자리불편한거는 힙한 곳의 기본 온갖 다 모아놓음 커피팟 잔 침대 샤?치마 같은 커튼 서비스 기대ㄴㄴ ,2점
69,호텔707,조금 아쉬워요,2점
70,호텔707,분위기나 테이블컨셉 등이 조화롭고 화려해서 딱 제스타일이었어요! 한쪽에는 침대처럼 되어있는 테이블이 있는데 가끔 커플분들이 민망한 행동을 하셔서.. 그게좀;; ㅠㅠ 케이크랑 음료 모두 맛있었고 직원분들 너무 자기들끼리 카페차지하고 노는 분위기가 심했어요 ,4점
71,호텔707,좋아요,4점
72,호텔707,"예쁘기는 참 예뻐요. 음식도 예뻐요.  가격이 비싼 감이 있지만 어차피 이런 곳은 맛보다 분위기보고 오는 거니까 그러려니 합니다.  그러나 직원교육이 시급해 보이네요. 사람들이 음식을 먹고 있는데 청소기를 돌리는건 무슨 행동인지 ... 카페트 위로 먼지 폴폴 날리고 소음에 대화 소리도 안들렸습니다. 잠시 무언가 쏟거나 흘리셨나 했더니, 가게 곳곳, 테이블들...",2점
73,호텔707,네이버나 인스타에 노키즈존 이라고 올려주시죠? 인천에서 검색하고 갔더니 주말에는 노키즈존이라고? 장난하나...,1점
74,호텔707,분위기 좋습니다 ㅎ,5점
75,호텔707,좋아요,4점
76,호텔707,침대로 된 의자가 많아서 편하게 쉬며 술&커피 할수 있는곳 가격에 비해 디저트 맛이 별 특색 없는게 아쉬움,4점
77,호텔707,보통이에요,3점
78,호텔707,호텔분위기 동남아분위기 가격은 비싸지만 분위기좋음,4점
79,호텔707,루프탑 분위기좋음 남자들하고 와서 에러 호텔방 비스무리하게 꾸며놓음 가벽비쌈 밤에오면좋다고함,5점
