,0,1,2
0,청수당,사람이 유명해서 많긴한데 기다리진 않고 들어갈수 있었어요 직원이 불친절하다해서 갈지말지 고민했는데 너무 친절했고 케이크도 비싼값하네요 맛있어요 말차우유는 가루가 덜 풀어져서 걸쭉하고 목에 좀 막히는 느낌인게 아쉬웠는데 풍경도 이쁘고 맛있어서 잘 먹고왔어요,5점
1,청수당,"사람이 느무느무 많음, 분위기 좋고 맛도  굿^^",5점
2,청수당,"사람 너무 많아 자리 없음.  수플레 시키고 1시간을 기다림, 하나 가격 양에 비해 너무 비쌈",1점
3,청수당,인스타용 사진찍기 좋은 카페 맛은 기억안남,3점
4,청수당,어머어머 뷰가 참 아름다워요 사진찍기도 너무좋구요 약간 일본느낌 나더라구요 대신에 가격이 좀비싸네요 그래도 감안하고 갈만해요!,5점
5,청수당,익선동 필수코스!!,5점
6,청수당,카페 안에 잔잔하게 흐르는 물도 있어서 일본 교토 느낌 나요! 직원분들 친절하시고 사진 찍기 정말 좋은 분위기 좋은 카페예요. 전반적으로 자연 속 느낌있는 카페여서 재방문 할 것 같아요,5점
7,청수당,맛이 이상해오...,1점
8,청수당,카페라떼 주문했는데 기대만큼은 아니었어요 디저트도 양이 좀 적어 아쉬웠구요 가격은 넘 비싸서 재방문은 안할듯요,3점
9,청수당,가격이 진짜..ㅋㅋ 부담되긴 해요.. 맘 먹고 가야하는 카페라고 생각이 되는 부분ㅠ 하지만 분위기는 진짜 말도 안되게 좋고 직원분들도 친절하심! :) 인생샷 건지러 가기 딱 좋은 곳이에요 !,4점
10,청수당,가격은 사악하지만 직원분들의 친절함과 분위기 때문에 재방문 의사 있습니당 수플레 맛있고 음료는 쏘쏘예요,4점
11,청수당,분위기 맛집임 음료는 괜춘 카스테라 가격은 사악함... 퀄리티에 비해 그정도 가격은 진짜 아닌듯,4점
12,청수당,분위기좋은데 너무너무 비쌈.. 맛도 그닥.. 에이드랑 에그...무슨 커피 시켰는데 맛없음.. 굳이 찾아와 돈낭비할 필요가 없었다.. 노래도 없음..,2점
13,청수당,괜히 핫플이 아니였음 가을밤 감성에 아주 딱이다! 마치 일본 중국의 어느 휴양지에 온 느낌 계란 커피도 독특하니 부드럽고 맛남 홍차 녹차라인 음료들도 괜춘 차후 재방문 확정! 취저 탕탕^^,5점
