,0,1,2
0,맥심플랜트,분위기도 좋고 커피도 맛있고  공간이 머쉿다~ ,4점
1,맥심플랜트,최고예요,5점
2,맥심플랜트,좋아요,4점
3,맥심플랜트,공부하기 좋고 넓어서 애용하는 곳,5점
4,맥심플랜트,좋아요,4점
5,맥심플랜트,이가격에 이공간 이맛 끄덕끄덕,5점
6,맥심플랜트,최고예요,5점
7,맥심플랜트,음료보다 인테리어가 더 인상깊어요 넓고 공간도 다양하게 있습니다 꼭대기층 테라스자리에서 이태원이 한눈에 보여요,4점
8,맥심플랜트,요 근처 회사 다니는 사람이에요. 커피 맛은 대단히 맛있지도 별로지도 아닌 보통의 맛입니다. 자리가 넓고 쾌적해서 자주 갑니다. 왠지 모르겠는데 직원들분들이 약간 퉁명스러우셔요. 피곤하셔서 그런건지 캐셔분부터 커피 주시는 분들까지 뭔가 기분이 안좋으신것 같다는 느낌 매번 받아요. 옆에  스타벅스랑 조금 비교되는..ㅎㅎ (스타벅스 직원 아님),3점
9,맥심플랜트,커피맛 최고! 아메리카노 골든스카이 + 글래머러스 펭귄 케익 최고!!  공간 다양 넓고 조용한공간도 있고 편한의자도 있고 청결한 화장실 디퓨저 향도 좋고  엘베 콘센트 등 맛도 있는데 고객편의를 생각한 매장 그래서 자주 가게됨.  1층에만 물이있는 것은 불편!!  알바같지않은 매니저인지 책임자같은 불친절한 안경쓰고 키 어느정도있는 남자직원만 아니면 별다섯개...,4점
10,맥심플랜트,인테리어 멋짐. 커피는... 반성이 필요함,2점
11,맥심플랜트,다음에 또 가야지,5점
12,맥심플랜트,접근성도 좋고 커피도 맛있고 공간도 넓어서 편하게 머물기 좋았어요 ,5점
13,맥심플랜트,이태원 가서 죽치고 있기 좋은 곳,5점
14,맥심플랜트,"사람 정말 많았는데, 코로나 대응으로 실내에서도 마스크 착용 해야 해욤. 직원들이 너무 친절해요...ㅠ 바나나 푸딩 진짜 꼭 먹어야 해요, 이거 레알 존맛",4점
15,맥심플랜트,커피는 맥쉼,4점
16,맥심플랜트,짱 멋있당,5점
17,맥심플랜트,"Amazing Place wit decent coffee . And i loved terrace 내가정말 사랑하는 공간! 한남 가면 무조건 들리고싶어졌다. 커피맛있고 공간넓고, 코로나 걱정할 필요없이 자리간 간격도 넓고~ 굳 ",5점
18,맥심플랜트,좋아요,4점
19,맥심플랜트,편하고 자리많고 무난하게 가기 좋음,4점
20,맥심플랜트,"지하가 카공하기 넘 좋아요,, 의자도 편하고 데스크 높이랑 조명도 딱이고 주말에 사람 많을 때 말고 평일에 가면 적당히 사람 있고 조용한 분위기에 인테리어도 뭔가 아늑한 느낌이라 집중 잘돼요. 다만 살짝 추웠던 것 같아요. 화장실도 깨끗한 편! 커피는 카페라떼 시켰는데 500원 올랐나봐요 디카페인 종류도 많아서 카페인 안 받는 분들은 디카페인 드시면 될 듯...",5점
21,맥심플랜트,일반 아메리카노 원두 세가지맛중 고를 수 있었고 산미있는 맛을 선택했는데 맛은 쏘쏘. 넓은곳에 사람도 많았지만 외부와 연결된곳이 많아 답답하지 않았어요. 다음에는 커피바에서 드립마셔보고 싶네요. 헤드폰쓰고 음악들으면서 먹을 수 있게 준비되어있는 것 같더라구요!,4점
22,맥심플랜트,너무 조타 곁들일 것이 케익 식빵 등 탄수화물밖에 없다는 점이 아쉽다 샌드위치나 샐러드라도 있었으면 하지만 냄새 때문에 안 들이는 건가 싶다! 웨벡스로 공부하면 계속 끊긴다는 아쉬운 점이 있지만 그럼에도 불구하규 계속 가게됨 ,5점
23,맥심플랜트,"the interior is nice and good for working, but the menu is a bit limited if ur not a coffee drinker (i’m new to korea and wasn’t aware the maxim brand is synonymous with coffee)",3점
24,맥심플랜트,"바닐라라떼 시켰는데 커피알못이라 평가는 못하겠지만 걍 그랬어요. 대신 깔끔하고 탁 트인 인테리어와 널찍널찍한 테이블 간격, 오래 앉아있기 편한 의자가 아주 마음에 쏙 들었습니다. 담에는 아아에 케이크 먹어볼 예정이에요!",4점
25,맥심플랜트,3층 노란염색머리 여직원님 왜이렇게 불친절하고 퉁명스러워요.좋은시설 만들고 맥심수준 떨어지네요,2점
26,맥심플랜트,새로 생겨서 화장실부터 매장까지 다 깔끔하고 이쁘다. 남자 종업원은 서비스교육 다시 받아야 할 듯.,4점
27,맥심플랜트,장소 너무 예쁘고 커피맛도 맥심인데 맛있네요. 와이파이 비번이 커피는 맥심ㅋㅋㅋ임ㅋㅋㅋ 여튼 장소매력에 폭 빠졌어요. 야외좌석에 콘센트 있는건 처음봄ㅋㅋㅋ 맥심열일한듯. 참 가격도 착합니다. 꼭 가보세요!,5점
28,맥심플랜트,커피맛좋음. 여기원두 비싸지만 맛있음. 원두사면 커피한잔주니까 가격은 적당하다고 볼 수도 있음. ,5점
29,맥심플랜트,오트밀 바닐라라떼 추천!,5점
30,맥심플랜트,한 번 쯤은 가볼만 하지만 특별하진 않다.,2점
31,맥심플랜트,맛있어요!,5점
32,맥심플랜트,넓고 깨끗하고 공부하기도 좋아요 베이커리는 조금 비싼데 커피는 무난하고 맛있어요 들어가기전에 체온측정도 다 하고 들어갑니다,5점
33,맥심플랜트,니트로커피 특이한데 얼음은 없으니까 얼죽아면 비추,5점
34,맥심플랜트,맛이 없습니다.... 돈 ○○○ 아까워요 할리스나 갈걸,1점
35,맥심플랜트,직원이 친절함,4점
36,맥심플랜트,커피맛도 괜찮은데 공간도 괜찮다 한번쯤 들려볼만 하다,4점
